"engine.time","ikr.IKr","membrane.V"
 0.00000000000000000e+00, 0.00000000000000000e+00,-8.00000000000000000e+01
 9.03352516323201009e-03, 2.86893890728125102e-09,-8.00000000000000000e+01
 1.80670503264640202e-02, 5.75750494108039105e-09,-8.00000000000000000e+01
 4.68281612161377120e-02, 1.50802092136342300e-08,-8.00000000000000000e+01
 7.55892721058114003e-02, 2.45625789818655485e-08,-8.00000000000000000e+01
 1.04350382995485089e-01, 3.42072919600567224e-08,-8.00000000000000000e+01
 1.55885404456899690e-01, 5.18625829260467068e-08,-8.00000000000000000e+01
 2.07420425918314277e-01, 6.99544101038707873e-08,-8.00000000000000000e+01
 2.58955447379728865e-01, 8.84288464788913463e-08,-8.00000000000000000e+01
 3.61106746250437149e-01, 1.25976262264164258e-07,-8.00000000000000000e+01
 4.63258045121145434e-01, 1.64527575110637719e-07,-8.00000000000000000e+01
 5.65409343991853719e-01, 2.03825580835867306e-07,-8.00000000000000000e+01
 7.35836727816953751e-01, 2.70542530301696147e-07,-8.00000000000000000e+01
 8.41077699062265705e-01, 3.12178851445254298e-07,-8.00000000000000000e+01
 9.46318670307577658e-01, 3.54030325756290588e-07,-8.00000000000000000e+01
 1.05155964155288961e+00, 3.96028393350205852e-07,-8.00000000000000000e+01
 1.15680061279820157e+00, 4.38117770575260804e-07,-8.00000000000000000e+01
 1.32309594839286637e+00, 5.04712236011089920e-07,-8.00000000000000000e+01
 1.48939128398753118e+00, 5.71300743833414334e-07,-8.00000000000000000e+01
 1.65568661958219598e+00, 6.37795468189659284e-07,-8.00000000000000000e+01
 1.82198195517686079e+00, 7.04142386507475415e-07,-8.00000000000000000e+01
 1.98827729077152560e+00, 7.70308082914295778e-07,-8.00000000000000000e+01
 2.15457262636619040e+00, 8.36271209130727467e-07,-8.00000000000000000e+01
 2.45120085315298208e+00, 9.53393363866159175e-07,-8.00000000000000000e+01
 2.74782907993977377e+00, 1.06978236145784945e-06,-8.00000000000000000e+01
 3.04445730672656545e+00, 1.18541494170082447e-06,-8.00000000000000000e+01
 3.54938806034636833e+00, 1.38050123194236129e-06,-8.00000000000000000e+01
 4.39682620501119281e+00, 1.70301340102816644e-06,-8.00000000000000000e+01
 7.23045894690267055e+00, 2.73861179613288627e-06,-8.00000000000000000e+01
 1.00640916887941483e+01, 3.71062328474209982e-06,-8.00000000000000000e+01
 1.28977244306856260e+01, 4.62282285699847474e-06,-8.00000000000000000e+01
 1.99458885166114044e+01, 6.66488446798954455e-06,-8.00000000000000000e+01
 3.11806900863008067e+01, 9.34845998654176889e-06,-8.00000000000000000e+01
 4.93190453825717867e+01, 1.25172843749239510e-05,-8.00000000000000000e+01
 6.74574006788427738e+01, 1.46056817817315786e-05,-8.00000000000000000e+01
 8.55957559751137609e+01, 1.59849956593158432e-05,-8.00000000000000000e+01
 1.03734111271384748e+02, 1.69201651956355833e-05,-8.00000000000000000e+01
 1.21872466567655735e+02, 1.75723347021847033e-05,-8.00000000000000000e+01
 1.40010821863926708e+02, 1.80352102318624490e-05,-8.00000000000000000e+01
 1.68262576404555261e+02, 1.85049127178562477e-05,-8.00000000000000000e+01
 1.96514330945183815e+02, 1.87874127940080599e-05,-8.00000000000000000e+01
 2.24766085485812368e+02, 1.89618778979566418e-05,-8.00000000000000000e+01
 2.71261008530985748e+02, 1.91289987333209701e-05,-8.00000000000000000e+01
 3.17755931576159128e+02, 1.92123894878945241e-05,-8.00000000000000000e+01
 3.64250854621332508e+02, 1.92408518321953220e-05,-8.00000000000000000e+01
 4.10745777666505887e+02, 1.92421800955015270e-05,-8.00000000000000000e+01
 4.57240700711679267e+02, 1.92395079614222092e-05,-8.00000000000000000e+01
 5.03735623756852647e+02, 1.92405540570858101e-05,-8.00000000000000000e+01
 6.10979588526491739e+02, 1.92568533837232689e-05,-8.00000000000000000e+01
 7.18223553296130831e+02, 1.92686877595072220e-05,-8.00000000000000000e+01
 8.25467518065769923e+02, 1.92587340768792502e-05,-8.00000000000000000e+01
 9.32711482835409015e+02, 1.92444908230928903e-05,-8.00000000000000000e+01
 1.03995544760504799e+03, 1.92405507641110475e-05,-8.00000000000000000e+01
 1.14719941237468697e+03, 1.92428645017511335e-05,-8.00000000000000000e+01
 1.25444337714432595e+03, 1.92440189269503364e-05,-8.00000000000000000e+01
 1.43965808494325393e+03, 1.92444901530852415e-05,-8.00000000000000000e+01
 1.62487279274218190e+03, 1.92441053961134853e-05,-8.00000000000000000e+01
 1.81008750054110988e+03, 1.92432975078161650e-05,-8.00000000000000000e+01
 2.00000000000000000e+03, 1.92431045520657408e-05,-8.00000000000000000e+01
 2.00003477565537037e+03,-5.83818178042738945e-05,-1.00000000000000000e+02
 2.00006955131074074e+03,-5.89534489512809801e-05,-1.00000000000000000e+02
 2.00014365073581962e+03,-5.99637136235676296e-05,-1.00000000000000000e+02
 2.00021775016089850e+03,-6.07388808590166347e-05,-1.00000000000000000e+02
 2.00034388746302511e+03,-6.16233943691325001e-05,-1.00000000000000000e+02
 2.00047002476515172e+03,-6.20935062067971317e-05,-1.00000000000000000e+02
 2.00059616206727833e+03,-6.22870834919144947e-05,-1.00000000000000000e+02
 2.00080637089033758e+03,-6.22495481981265075e-05,-1.00000000000000000e+02
 2.00101657971339682e+03,-6.19687201689463556e-05,-1.00000000000000000e+02
 2.00133766437819850e+03,-6.13578823917810103e-05,-1.00000000000000000e+02
 2.00165874904300017e+03,-6.07217147654787753e-05,-1.00000000000000000e+02
 2.00197983370780184e+03,-6.01067547210538719e-05,-1.00000000000000000e+02
 2.00230091837260352e+03,-5.94959763331957803e-05,-1.00000000000000000e+02
 2.00310364681855344e+03,-5.79524954512003742e-05,-1.00000000000000000e+02
 2.00507432880326087e+03,-5.42935691652714219e-05,-1.00000000000000000e+02
 2.00704501078796829e+03,-5.08633687473641701e-05,-1.00000000000000000e+02
 2.00901569277267572e+03,-4.76692833764596205e-05,-1.00000000000000000e+02
 2.01098637475738315e+03,-4.46915731739452057e-05,-1.00000000000000000e+02
 2.01295705674209057e+03,-4.19132908800839933e-05,-1.00000000000000000e+02
 2.01492773872679800e+03,-3.93204911313720990e-05,-1.00000000000000000e+02
 2.01938159375500891e+03,-3.40718730773463606e-05,-1.00000000000000000e+02
 2.02383544878321982e+03,-2.95830557327532661e-05,-1.00000000000000000e+02
 2.02828930381143073e+03,-2.57445162708819033e-05,-1.00000000000000000e+02
 2.03274315883964164e+03,-2.24564876973738183e-05,-1.00000000000000000e+02
 2.03719701386785255e+03,-1.96353497975836844e-05,-1.00000000000000000e+02
 2.04165086889606346e+03,-1.72120554750932188e-05,-1.00000000000000000e+02
 2.05055686755821580e+03,-1.33452477967794405e-05,-1.00000000000000000e+02
 2.05946286622036814e+03,-1.04846517460731360e-05,-1.00000000000000000e+02
 2.06836886488252048e+03,-8.35355648579171530e-06,-1.00000000000000000e+02
 2.07727486354467283e+03,-6.76020265825190441e-06,-1.00000000000000000e+02
 2.09224523986005352e+03,-4.91740025601406731e-06,-1.00000000000000000e+02
 2.10221839978238586e+03,-4.11416534195595449e-06,-1.00000000000000000e+02
 2.11219155970471820e+03,-3.54219915576059932e-06,-1.00000000000000000e+02
 2.12216471962705054e+03,-3.12927713517520285e-06,-1.00000000000000000e+02
 2.13213787954938289e+03,-2.82701087607010157e-06,-1.00000000000000000e+02
 2.14914167222888636e+03,-2.47989792108223265e-06,-1.00000000000000000e+02
 2.16614546490838984e+03,-2.27115048722380095e-06,-1.00000000000000000e+02
 2.18314925758789332e+03,-2.15212832864377464e-06,-1.00000000000000000e+02
 2.20015305026739679e+03,-2.08797560967451530e-06,-1.00000000000000000e+02
 2.21715684294690027e+03,-2.05277529285581648e-06,-1.00000000000000000e+02
 2.23416063562640375e+03,-2.03159860574723815e-06,-1.00000000000000000e+02
 2.26341017530381760e+03,-2.00928595136228864e-06,-1.00000000000000000e+02
 2.29265971498123145e+03,-1.99745373323423608e-06,-1.00000000000000000e+02
 2.32190925465864530e+03,-1.99476203032707209e-06,-1.00000000000000000e+02
 2.35115879433605915e+03,-1.99689360712600218e-06,-1.00000000000000000e+02
 2.38040833401347300e+03,-1.99898129599259710e-06,-1.00000000000000000e+02
 2.44473075702137203e+03,-2.00264392243295325e-06,-1.00000000000000000e+02
 2.50905318002927106e+03,-2.00223200105422155e-06,-1.00000000000000000e+02
 2.57337560303717009e+03,-2.00031282751107912e-06,-1.00000000000000000e+02
 2.63769802604506913e+03,-1.99929938363013624e-06,-1.00000000000000000e+02
 2.78747572238007751e+03,-1.99831402360571934e-06,-1.00000000000000000e+02
 2.93725341871508590e+03,-1.99885574595128186e-06,-1.00000000000000000e+02
 3.08703111505009429e+03,-1.99939401654080785e-06,-1.00000000000000000e+02
 3.23680881138510267e+03,-1.99946863764755640e-06,-1.00000000000000000e+02
 3.58490612883371341e+03,-1.99946563654129084e-06,-1.00000000000000000e+02
 3.93300344628232415e+03,-1.99940946262402070e-06,-1.00000000000000000e+02
 4.51142304152046745e+03,-1.99940059098592527e-06,-1.00000000000000000e+02
 7.00000000000000000e+03,-1.99940123928294396e-06,-1.00000000000000000e+02
 7.00003870939361968e+03, 6.62356563938932934e-07,-8.00000000000000000e+01
 7.00007741878723937e+03, 6.58811203383866045e-07,-8.00000000000000000e+01
 7.00015794776477196e+03, 6.52877277112747791e-07,-8.00000000000000000e+01
 7.00023847674230456e+03, 6.48643157889192299e-07,-8.00000000000000000e+01
 7.00038339998235369e+03, 6.44717784992622956e-07,-8.00000000000000000e+01
 7.00052832322240283e+03, 6.44620642441719275e-07,-8.00000000000000000e+01
 7.00067324646245197e+03, 6.47337527179811543e-07,-8.00000000000000000e+01
 7.00089671803548026e+03, 6.55423446444015024e-07,-8.00000000000000000e+01
 7.00112018960850855e+03, 6.66437307930651936e-07,-8.00000000000000000e+01
 7.00134366118153685e+03, 6.78966467783969538e-07,-8.00000000000000000e+01
 7.00156713275456514e+03, 6.92361890202810459e-07,-8.00000000000000000e+01
 7.00203382630734177e+03, 7.22367338216390403e-07,-8.00000000000000000e+01
 7.00250051986011840e+03, 7.54027090632808271e-07,-8.00000000000000000e+01
 7.00296721341289503e+03, 7.86619521311032081e-07,-8.00000000000000000e+01
 7.00343390696567167e+03, 8.20047803996980608e-07,-8.00000000000000000e+01
 7.00418721317851032e+03, 8.75756848647449965e-07,-8.00000000000000000e+01
 7.00494051939134897e+03, 9.33742565245536517e-07,-8.00000000000000000e+01
 7.00569382560418762e+03, 9.93906206495670749e-07,-8.00000000000000000e+01
 7.00728517984072460e+03, 1.12711666803931957e-06,-8.00000000000000000e+01
 7.01000876779228747e+03, 1.37308782445528118e-06,-8.00000000000000000e+01
 7.01273235574385035e+03, 1.63926646356762105e-06,-8.00000000000000000e+01
 7.01545594369541323e+03, 1.92309339750423187e-06,-8.00000000000000000e+01
 7.01817953164697610e+03, 2.22206491591078591e-06,-8.00000000000000000e+01
 7.02374855138022394e+03, 2.87134176071030554e-06,-8.00000000000000000e+01
 7.03406826119106699e+03, 4.16450209062841741e-06,-8.00000000000000000e+01
 7.04438797100191005e+03, 5.50344397012071040e-06,-8.00000000000000000e+01
