,Time Points,Mean,Median,Lower bound CI,Upper bound CI,Central Probability
0,7,6.52974688386283,6.149553819098205,1.7694692430674586,13.414468289381015,0.95
1,8,7.3772355715673115,7.079231777195094,2.785560976226629,13.89539286614282,0.95
2,9,7.6699996317472126,7.348550892642702,3.4480438190787672,13.50838968407027,0.95
3,10,6.064789510054981,5.8103635977840575,2.4696001624401105,11.372009912025744,0.95
4,11,5.423101414196482,5.135116726394212,2.402718251635486,9.729608057994456,0.95
5,12,4.813628826767605,4.672199024647202,2.3570853006158208,7.8673250044521605,0.95
6,13,3.0676873901857955,2.936674059242593,1.3187885271642867,5.619736301611973,0.95
7,14,2.5237780872388886,2.392248677959614,1.0716843218485927,4.584158815578486,0.95
8,15,1.5417624278204909,1.4495600552828238,0.5401036254339731,2.982285768828518,0.95
9,16,1.7144602184998887,1.6595126239891618,0.721347665697306,3.0140687456031725,0.95
10,17,1.5217633224346288,1.471844321319956,0.647446374804393,2.6537742419661425,0.95
11,18,1.5679493062863854,1.5129593557968446,0.7288905063446244,2.6825394353674517,0.95
12,19,1.9249747787160147,1.8748826405602435,0.9591846623595198,3.1184942454203552,0.95
13,20,3.928279011981372,3.8756557242703504,2.5457609166917377,5.571841877892265,0.95
14,21,7.254634287159036,7.208064155115164,5.276928880246017,9.410752496900972,0.95
15,22,12.154242947892994,12.119574147558819,9.59010122547027,14.8117587860813,0.95
16,23,14.395258000000622,14.32487930277557,11.698275281734333,17.367721286458355,0.95
17,24,13.481354455494106,13.451437360131916,11.08480503072759,16.12153882378409,0.95
18,25,11.345933306752118,11.312359199947895,9.487471127071128,13.317937442277469,0.95
19,26,8.558629312353142,8.556566798094856,7.2201909906367545,9.95078803069641,0.95
20,27,5.947321371111171,5.934844319648251,5.091443312317833,6.884022848174657,0.95
21,28,4.305491542204678,4.297038909585032,3.6279024383210774,5.03052584345767,0.95
22,29,2.9481869539984737,2.9409398728282516,2.4676949949432814,3.4640934243938983,0.95
23,30,2.3189442680574817,2.3095294284589367,1.9709508439773453,2.7056551855050492,0.95
24,31,2.0856887088511393,2.0824730125927187,1.777308412533048,2.441802761199848,0.95
25,32,1.7145050531324662,1.7128771261183504,1.4503417053495573,1.9878092912882663,0.95
26,33,1.5297461065442917,1.526260650607969,1.304665769469472,1.7717608319593083,0.95
27,34,1.4221896383352426,1.41463051062204,1.2247323702700355,1.6465046241006718,0.95
28,35,1.2933830562322859,1.2885213089523573,1.086261214826961,1.5045538167847843,0.95
29,36,1.2812798083476504,1.2769543497750764,1.097929011881449,1.4883144458957958,0.95
30,37,1.7922033130892268,1.7887129035250595,1.569279466347869,2.0236093390957417,0.95
31,38,2.221121143730807,2.215730116226276,1.9817846848108807,2.485349766001869,0.95
32,39,2.568723915257387,2.5652898445584453,2.3059549865404305,2.854363799896902,0.95
33,40,2.737412032224454,2.7358200794286613,2.4646868518376337,3.0218260375924544,0.95
34,41,2.779013726223814,2.7752947044282674,2.5317405332951153,3.034275267647301,0.95
35,42,2.6242089103532202,2.6234558102199914,2.377160392024499,2.8748082745674477,0.95
36,43,2.329051437365562,2.3242146686725107,2.115767984696302,2.546785386447394,0.95
37,44,1.771082445009084,1.770432916285814,1.5959171097774356,1.9577520698697692,0.95
38,45,1.3117145007453157,1.3095906605385255,1.1798760843487086,1.4548865399437987,0.95
39,46,1.0229440478903056,1.020748856197415,0.9036930436562625,1.1486750456953445,0.95
40,47,0.8246320046437169,0.8228149412666957,0.7237615595092728,0.9302476118316835,0.95
41,48,0.7021595342797922,0.702005540793004,0.609215241380952,0.7961077947658385,0.95
42,49,0.6699698431189559,0.669950156258565,0.5884392253189065,0.7589181790826508,0.95
43,50,0.68388584445841,0.6831796527608394,0.5970724594322743,0.7758566939059753,0.95
44,51,0.6560161830448907,0.6563020305055067,0.575690484397519,0.7444268225540802,0.95
45,52,0.6348118843344784,0.63372495103133,0.5502423889678406,0.7251985648078455,0.95
46,53,0.6181508405554409,0.6170101112250768,0.5393203064968053,0.7018694754907376,0.95
47,54,0.6063839761378212,0.606018889431366,0.5195559715210519,0.6957722638218207,0.95
48,55,0.6188783587046672,0.6175565967396416,0.5338001906534845,0.711621220930265,0.95
49,56,0.5940791389543568,0.5927571333995878,0.5064412086119228,0.6854767196459244,0.95
50,57,0.5528027827718595,0.5515538912550283,0.46932746609082926,0.6438923648070763,0.95
51,58,0.49511522771111677,0.4941737437441014,0.4181596566160605,0.5844307223852,0.95
52,59,0.4999610627725652,0.49943362107034706,0.4159200220275033,0.592114290950947,0.95
53,60,0.5238505286477013,0.522662314063209,0.4348146401249654,0.6231378692817003,0.95
54,61,0.5206029815779106,0.5196579503786944,0.42918047512109975,0.6183929640567506,0.95
55,62,0.5253367803114356,0.5226634639164673,0.43012998565950283,0.6350500757986595,0.95
56,63,0.5369101729172918,0.535465659053876,0.4370585575612402,0.6414544265322497,0.95
57,64,0.5234920332621512,0.5210253165234586,0.42462812700891445,0.6366190096316042,0.95
58,65,0.5184575576811051,0.5149186794568222,0.41400863492804235,0.6385083639744962,0.95
59,66,0.4868794329153746,0.4839427879872451,0.38227924421069764,0.5991455873548064,0.95
60,67,0.47011866989874684,0.4686687899889285,0.36824515610753855,0.5899946044047201,0.95
61,68,0.5176993667327838,0.5155583144111049,0.40667596475939627,0.6471490221716787,0.95
62,69,0.5065562338752782,0.502091306824919,0.3799037584477999,0.6530588617207743,0.95
63,70,0.5158193239031141,0.5131176224225693,0.39027852809427627,0.6546689850552334,0.95
64,71,0.5535874403949796,0.5516162353468269,0.4288663348958567,0.6963964995396401,0.95
65,72,0.683784054469628,0.6767686824626203,0.5365555847127692,0.8590609392224446,0.95
66,73,0.6797476290706824,0.6762878513433761,0.5197612601374763,0.8733728400363029,0.95
67,74,0.718452507517207,0.7139329749740226,0.548455877411964,0.9086882697150744,0.95
68,75,0.6580783356822378,0.6526423789652698,0.49732144044636484,0.8413036560349196,0.95
69,76,0.6105208198846841,0.6067891359071887,0.4552181747143327,0.7833711140545946,0.95
70,77,0.5464639974049692,0.5445440929012879,0.3867384909789162,0.7293101533789466,0.95
71,78,0.5639428918658668,0.5589781140989267,0.3989560568194703,0.7622118766834574,0.95
72,79,0.4638424867323423,0.4595314086256242,0.31463752832198355,0.6445686804447321,0.95
73,80,0.5113877138837077,0.5040602238021413,0.3553580127065544,0.702382405069788,0.95
74,81,0.4712225222579451,0.46562589838489543,0.3196689666995168,0.6579127955495727,0.95
75,82,0.6010373490563666,0.596485743262532,0.42454696805847225,0.8145236208312431,0.95
76,83,0.6080996241441259,0.5991456265995512,0.42778249479447605,0.8289680328633189,0.95
77,84,0.6307173989164592,0.6225467147955412,0.43334135200171786,0.8784799837308017,0.95
78,85,0.5960577765407711,0.5895044944928065,0.4034061114300069,0.8231687375886798,0.95
79,86,0.6616982126125613,0.6536924675138573,0.46274943456327366,0.9084090349186233,0.95
80,87,0.6574553273796188,0.6494059092909388,0.4255332887604265,0.9306898620358132,0.95
81,88,0.6726007738794817,0.6677485414748298,0.43750680197707625,0.9477912795574731,0.95
82,89,0.6062481284426078,0.5944770964705157,0.3682061892024694,0.9066651308201965,0.95
83,90,0.6629398006937008,0.6542560033999179,0.43233001678248173,0.9132662341841328,0.95
84,91,0.6380512814896766,0.6297567684996428,0.3963272390247196,0.9321755091206462,0.95
85,92,0.6636982353615051,0.6553472215631144,0.43021335048563547,0.962176664088525,0.95
86,93,0.5388292894917898,0.5275833383689944,0.3168019545784403,0.8180118269013176,0.95
87,94,0.4940647389956664,0.4819228916803771,0.27541750766287865,0.7844418517140584,0.95
88,95,0.52433548328158,0.5095110503844215,0.29936794377096526,0.8212318057717408,0.95
89,96,0.5084422209355194,0.49585970373314525,0.27322801921127904,0.8244663877734003,0.95
90,97,0.4645916311684229,0.45448709122715947,0.24281613634572974,0.749191216505325,0.95
91,98,0.49720061910804375,0.48260476958533505,0.2512391653875757,0.8351261002828634,0.95
92,99,0.4855803166886395,0.4727050426228703,0.24249166173578102,0.8166296183008022,0.95
93,100,0.5644680090432748,0.548058564206469,0.2883603087122838,0.925027702908244,0.95
94,101,0.6119631221966944,0.5986692753595364,0.32727695921981903,1.003780045081513,0.95
95,102,0.5533520206140655,0.5293530817854281,0.26602466251433843,0.9457224747471351,0.95
96,103,0.47469457925319103,0.4503024738319581,0.21277300652854886,0.8748729121868616,0.95
97,104,0.4475583254051142,0.42873725128027546,0.1797995586946553,0.8241828465325746,0.95
98,105,0.5512562177897949,0.5309581364076179,0.24705537926075763,0.9725335237315377,0.95
99,106,0.5154872571726565,0.49164340905949133,0.22652548651219512,0.9283987859514712,0.95
