,Time Points,Mean,Median,Lower bound CI,Upper bound CI,Central Probability
0,7,7.7005994317676585,7.279504093999654,1.6087378149849423,13.880519194839925,0.95
1,8,7.246869278116918,6.712513195090283,2.299566013936969,15.305861217808289,0.95
2,9,7.67104718700887,7.133519748385636,3.587792840778675,14.081200235466289,0.95
3,10,6.857701522025632,6.228494087340769,2.153939995745409,14.395339665026336,0.95
4,11,5.622846856137622,5.028314101979208,2.536888437883371,11.920288207432588,0.95
5,12,5.029547557367827,4.929217226259116,2.1571566628290952,8.405246563030344,0.95
6,13,3.4152646960450683,3.0577676351550434,1.5144766341759244,6.004928570773877,0.95
7,14,2.699692405949435,2.6046203656452622,1.3876431459994065,5.409826261175516,0.95
8,15,1.8543885519417622,1.8268151746494896,0.5850799191938935,3.255372838015403,0.95
9,16,1.8571045116544227,1.871099190401071,0.9590292914113433,3.1155371395233558,0.95
10,17,1.651007410507349,1.4891556166381474,0.9091914405463002,3.199744595876611,0.95
11,18,1.6247847804208106,1.426372194899824,0.5248261254699355,3.980464369461219,0.95
12,19,1.9834129880470648,1.8551469524507818,0.7574185477353957,3.7843756119542595,0.95
13,20,3.9726612166596142,3.7451716075503216,2.1132102487681608,6.5652227350156345,0.95
14,21,7.379506502060193,7.406470592830108,5.154837460874916,10.597478046736516,0.95
15,22,11.426373338472876,10.982261663382316,8.20109678073967,15.787438665923997,0.95
16,23,12.820686934578843,12.807219171481723,9.42861273869882,16.130047064328306,0.95
17,24,13.511328991521504,12.889106715711067,8.860353810698175,18.38824340970661,0.95
18,25,13.947722659749118,13.647288867439634,9.71995781546032,21.00776884679448,0.95
19,26,13.817332303538143,13.530978422366239,9.254727893591419,19.599063443939734,0.95
20,27,11.286643324802093,10.850345418090235,8.118265890565121,15.45905287950703,0.95
21,28,8.699090437292986,8.50685997511382,6.649934492430031,11.964983190791761,0.95
22,29,4.916718485129888,4.789451218931994,3.300735624219498,7.675909682511843,0.95
23,30,3.014105461206031,2.8914429816613065,2.096857381531108,4.428925256166762,0.95
24,31,2.396907117953286,2.278549109190247,1.6082933769696166,3.497404976081104,0.95
25,32,1.9011951306376746,1.8930905890181333,1.383472151855212,2.4693406356582903,0.95
26,33,1.6951272037631537,1.6521796645917548,1.1848636266359744,2.4410114802371385,0.95
27,34,1.5444286682799915,1.4503116613082794,1.0232685421277328,2.2476903640119765,0.95
28,35,1.3734698975561421,1.3465017767223322,0.9368588131016333,1.9419816545219075,0.95
29,36,1.4918463944308937,1.4101685954475358,1.0803047206222514,2.242018796491512,0.95
30,37,1.7525151972603206,1.605300378831033,1.2918164389071647,2.774439803823104,0.95
31,38,2.2171947258052542,2.1801849646551306,1.4820623189473854,3.1184193120100114,0.95
32,39,2.5662246332053864,2.5450845133372137,1.6380658532484662,3.530027597595049,0.95
33,40,2.835930702204668,2.8700822819711167,2.0292764646681443,3.5779921131666543,0.95
34,41,2.939995859422533,2.9128792572773685,2.1850288260725184,4.219227260044199,0.95
35,42,3.0103135602774973,2.854296176295091,2.241879480870345,4.194856418704881,0.95
36,43,2.8211864121495167,2.623732248021974,2.0908941681502924,4.506000549734861,0.95
37,44,2.1243347866126068,2.0910297800350772,1.7181418667996606,2.877877253915048,0.95
38,45,1.6157900927526236,1.5986192395434484,1.0847920550724037,2.2812364392835716,0.95
39,46,1.2248184841123881,1.2257080014812964,0.9225241300902678,1.5706171855526418,0.95
40,47,0.9650571671563504,0.9538203223386068,0.6564181436634978,1.3237996388980762,0.95
41,48,0.7714452329603343,0.7415660316931213,0.5013055806385535,1.1078111241779809,0.95
42,49,0.7478076872777314,0.7427971648306348,0.5246938693868455,0.9813060212304029,0.95
43,50,0.738775125464914,0.7051290066875249,0.53802935173482,1.03157751784533,0.95
44,51,0.668569294490718,0.6608216353032637,0.45425489287453846,0.8820346364154844,0.95
45,52,0.648113436880964,0.6589967260295725,0.41372690632487674,0.9620738175846721,0.95
46,53,0.6119397616443295,0.5946321209512895,0.40541494476654777,0.8141286570749715,0.95
47,54,0.640696760543926,0.621406513500264,0.4217718792042492,0.9165131786976329,0.95
48,55,0.6893031812962804,0.6658961918755951,0.47159902238968693,0.984520583192923,0.95
49,56,0.6251757449149659,0.5984459740127578,0.4861204466272753,0.9554333857621887,0.95
50,57,0.5591285345960668,0.5497739296626518,0.43218043288445895,0.7485350033179594,0.95
51,58,0.5273510559743073,0.5066572312876918,0.3459929090645404,0.7750592917696093,0.95
52,59,0.553623689418834,0.5350951037879692,0.36701101285291227,0.858454699657368,0.95
53,60,0.5430183422742958,0.5311770889318588,0.41004382065597966,0.75000768258935,0.95
54,61,0.547667306131699,0.5444306831086342,0.3906950485649546,0.7245614565507585,0.95
55,62,0.5445314980650819,0.5330607847130973,0.40929193510020434,0.7505167656487828,0.95
56,63,0.5906122533130298,0.5940467010022121,0.41868852672000495,0.7858669656675725,0.95
57,64,0.5875410618300406,0.5589602379820148,0.3454426850727012,0.8916425204639301,0.95
58,65,0.559097510690258,0.5448025172058807,0.3320404866059724,0.8118112496405732,0.95
59,66,0.500647965929293,0.4966015479999554,0.3562941551593161,0.6937727204470603,0.95
60,67,0.502815717971217,0.4827275592160164,0.3293486319346343,0.7502977670362118,0.95
61,68,0.5166634849466945,0.5318643283317797,0.3634335505721118,0.6672233385807284,0.95
62,69,0.5530820954676681,0.5478901957730037,0.3911664184751066,0.8094009324899504,0.95
63,70,0.5783950308873225,0.578194440556669,0.4320726224990096,0.8150516684262743,0.95
64,71,0.6096072430159177,0.6033483966612692,0.40866076252284395,0.9117686489867617,0.95
65,72,0.7535219932067625,0.7043091834972179,0.5053527405809325,1.0717070667020043,0.95
66,73,0.7464155612630813,0.7401707091080181,0.48316709952741577,1.114368579170647,0.95
67,74,0.7957526392334892,0.7680633056123116,0.5093845764650651,1.2336120061578213,0.95
68,75,0.6903041725035801,0.6900455813568634,0.4632340830635204,0.9785080916825153,0.95
69,76,0.6015520962347142,0.5984443152753991,0.41467508467611963,0.8049013666213043,0.95
70,77,0.5847895768630758,0.557448605428154,0.41087435814308154,0.815347763634755,0.95
71,78,0.6154839516987116,0.590746994964733,0.36264949311911365,1.0634803659692318,0.95
72,79,0.4896295969432836,0.48111564201050383,0.28220412844966974,0.8007765176407362,0.95
