"time","current","voltage"
 0.00000000000000000e+00, 7.49500862150722796e-06,-8.00000000000000000e+01
 2.50000000000000000e+01, 7.49497839469636400e-06,-8.00000000000000000e+01
 5.00000000000000000e+01, 7.49494851471162672e-06,-8.00000000000000000e+01
 7.50000000000000000e+01, 7.49491863472688774e-06,-8.00000000000000000e+01
 1.00000000000000000e+02, 7.49488875474215046e-06,-8.00000000000000000e+01
 1.25000000000000000e+02, 7.49485887475741402e-06,-8.00000000000000000e+01
 1.50000000000000000e+02, 7.49482899477267420e-06,-8.00000000000000000e+01
 1.75000000000000000e+02, 7.49479911478793691e-06,-8.00000000000000000e+01
 2.00000000000000000e+02, 7.49476923480319878e-06,-8.00000000000000000e+01
 2.25000000000000000e+02, 7.49473935481846066e-06,-8.00000000000000000e+01
 2.50000000000000000e+02, 7.49470947483372337e-06,-8.00000000000000000e+01
 2.75000000000000000e+02, 7.49467959484898524e-06,-8.00000000000000000e+01
 3.00000000000000000e+02, 7.49464971486424627e-06,-8.00000000000000000e+01
 3.25000000000000000e+02, 7.49461983487950814e-06,-8.00000000000000000e+01
 3.50000000000000000e+02, 7.49458995489477170e-06,-8.00000000000000000e+01
 3.75000000000000000e+02, 7.49456007491003272e-06,-8.00000000000000000e+01
 4.00000000000000000e+02, 7.49453019492529544e-06,-8.00000000000000000e+01
 4.25000000000000000e+02, 7.49450031494055731e-06,-8.00000000000000000e+01
 4.50000000000000000e+02, 7.49447043495581834e-06,-8.00000000000000000e+01
 4.75000000000000000e+02, 7.49444055497108190e-06,-8.00000000000000000e+01
 5.00000000000000000e+02, 7.49441067498634377e-06,-8.00000000000000000e+01
 5.25000000000000000e+02, 7.49438079500160479e-06,-8.00000000000000000e+01
 5.50000000000000000e+02, 7.49435091501686751e-06,-8.00000000000000000e+01
 5.75000000000000000e+02, 7.49432103503212938e-06,-8.00000000000000000e+01
 6.00000000000000000e+02, 7.49429115504739125e-06,-8.00000000000000000e+01
 6.25000000000000000e+02, 7.49426127506265397e-06,-8.00000000000000000e+01
 6.50000000000000000e+02, 7.49423139507791669e-06,-8.00000000000000000e+01
 6.75000000000000000e+02, 7.49420151509317771e-06,-8.00000000000000000e+01
 7.00000000000000000e+02, 7.49418690148039303e-06,-8.00000000000000000e+01
 7.25000000000000000e+02, 7.49418533546235720e-06,-8.00000000000000000e+01
 7.50000000000000000e+02, 7.49418376944431797e-06,-8.00000000000000000e+01
 7.75000000000000000e+02, 7.49418220342627959e-06,-8.00000000000000000e+01
 8.00000000000000000e+02, 7.49418063740824291e-06,-8.00000000000000000e+01
 8.25000000000000000e+02, 7.49417907139020623e-06,-8.00000000000000000e+01
 8.50000000000000000e+02, 7.49417750537216870e-06,-8.00000000000000000e+01
 8.75000000000000000e+02, 7.49417593935412948e-06,-8.00000000000000000e+01
 9.00000000000000000e+02, 7.49417437333609279e-06,-8.00000000000000000e+01
 9.25000000000000000e+02, 7.49417280731805442e-06,-8.00000000000000000e+01
 9.50000000000000000e+02, 7.49417124130001773e-06,-8.00000000000000000e+01
 9.75000000000000000e+02, 7.49416967528198020e-06,-8.00000000000000000e+01
 1.00000000000000000e+03, 7.49416810926394183e-06,-8.00000000000000000e+01
 1.02500000000000000e+03, 7.49416654324590345e-06,-8.00000000000000000e+01
 1.05000000000000000e+03, 7.49416497722786677e-06,-8.00000000000000000e+01
 1.07500000000000000e+03, 7.49416341120982924e-06,-8.00000000000000000e+01
