"time","current","voltage"
 0.00000000000000000e+00, 9.28054572672352483e-08,-8.00000000000000000e+01
 2.50000000000000000e+01, 9.28248489074766528e-08,-8.00000000000000000e+01
 5.00000000000000000e+01, 9.28440662500141443e-08,-8.00000000000000000e+01
 7.50000000000000000e+01, 9.28632835925516755e-08,-8.00000000000000000e+01
 1.00000000000000000e+02, 9.28825009350891538e-08,-8.00000000000000000e+01
 1.25000000000000000e+02, 9.29017182776266718e-08,-8.00000000000000000e+01
 1.50000000000000000e+02, 9.29209356201641633e-08,-8.00000000000000000e+01
 1.75000000000000000e+02, 9.29401529627016813e-08,-8.00000000000000000e+01
 2.00000000000000000e+02, 9.29593703052391993e-08,-8.00000000000000000e+01
 2.25000000000000000e+02, 9.29785876477766775e-08,-8.00000000000000000e+01
 2.50000000000000000e+02, 9.29978049903141955e-08,-8.00000000000000000e+01
 2.75000000000000000e+02, 9.30170223328517002e-08,-8.00000000000000000e+01
 3.00000000000000000e+02, 9.30362396753892050e-08,-8.00000000000000000e+01
 3.25000000000000000e+02, 9.30554570179267230e-08,-8.00000000000000000e+01
 3.50000000000000000e+02, 9.30746743604642012e-08,-8.00000000000000000e+01
 3.75000000000000000e+02, 9.30938917030017325e-08,-8.00000000000000000e+01
 4.00000000000000000e+02, 9.31131090455392372e-08,-8.00000000000000000e+01
 4.25000000000000000e+02, 9.31323263880767287e-08,-8.00000000000000000e+01
 4.50000000000000000e+02, 9.31515437306142467e-08,-8.00000000000000000e+01
 4.75000000000000000e+02, 9.31707610731517382e-08,-8.00000000000000000e+01
 5.00000000000000000e+02, 9.31899784156892562e-08,-8.00000000000000000e+01
 5.25000000000000000e+02, 9.32091957582267609e-08,-8.00000000000000000e+01
 5.50000000000000000e+02, 9.32284131007642524e-08,-8.00000000000000000e+01
 5.75000000000000000e+02, 9.32476304433017704e-08,-8.00000000000000000e+01
 6.00000000000000000e+02, 9.32668477858392752e-08,-8.00000000000000000e+01
 6.25000000000000000e+02, 9.32860651283767799e-08,-8.00000000000000000e+01
 6.50000000000000000e+02, 9.33052824709142846e-08,-8.00000000000000000e+01
 6.75000000000000000e+02, 9.33244998134517762e-08,-8.00000000000000000e+01
 7.00000000000000000e+02, 9.33339905170631999e-08,-8.00000000000000000e+01
 7.25000000000000000e+02, 9.33351682276904590e-08,-8.00000000000000000e+01
 7.50000000000000000e+02, 9.33363459383177048e-08,-8.00000000000000000e+01
 7.75000000000000000e+02, 9.33375236489449771e-08,-8.00000000000000000e+01
 8.00000000000000000e+02, 9.33387013595722229e-08,-8.00000000000000000e+01
 8.25000000000000000e+02, 9.33398790701995216e-08,-8.00000000000000000e+01
 8.50000000000000000e+02, 9.33410567808267674e-08,-8.00000000000000000e+01
 8.75000000000000000e+02, 9.33422344914540132e-08,-8.00000000000000000e+01
 9.00000000000000000e+02, 9.33434122020812855e-08,-8.00000000000000000e+01
 9.25000000000000000e+02, 9.33445899127085313e-08,-8.00000000000000000e+01
 9.50000000000000000e+02, 9.33457676233357904e-08,-8.00000000000000000e+01
 9.75000000000000000e+02, 9.33469453339630494e-08,-8.00000000000000000e+01
 1.00000000000000000e+03, 9.33481230445902952e-08,-8.00000000000000000e+01
 1.02500000000000000e+03, 9.33493007552175807e-08,-8.00000000000000000e+01
 1.05000000000000000e+03, 9.33504784658448398e-08,-8.00000000000000000e+01
 1.07500000000000000e+03, 9.33516561764720856e-08,-8.00000000000000000e+01
 1.10000000000000000e+03, 9.33528338870993446e-08,-8.00000000000000000e+01
 1.12500000000000000e+03, 9.33540115977266037e-08,-8.00000000000000000e+01
 1.15000000000000000e+03, 9.33551893083538627e-08,-8.00000000000000000e+01
 1.17500000000000000e+03, 9.33563670189811218e-08,-8.00000000000000000e+01
 1.20000000000000000e+03, 9.33575447296083941e-08,-8.00000000000000000e+01
 1.22500000000000000e+03, 9.33587224402356531e-08,-8.00000000000000000e+01
 1.25000000000000000e+03, 9.33599001508629121e-08,-8.00000000000000000e+01
 1.27500000000000000e+03, 9.33610778614901712e-08,-8.00000000000000000e+01
 1.30000000000000000e+03, 9.33622555721174302e-08,-8.00000000000000000e+01
