"time","current","voltage"
 0.00000000000000000e+00, 5.43916493157328967e-05,-8.00000000000000000e+01
 2.50000000000000000e+01, 5.43919835870755039e-05,-8.00000000000000000e+01
 5.00000000000000000e+01, 5.43923169519401205e-05,-8.00000000000000000e+01
 7.50000000000000000e+01, 5.43926503168047236e-05,-8.00000000000000000e+01
 1.00000000000000000e+02, 5.43929836816693267e-05,-8.00000000000000000e+01
 1.25000000000000000e+02, 5.43933170465339433e-05,-8.00000000000000000e+01
 1.50000000000000000e+02, 5.43936504113985464e-05,-8.00000000000000000e+01
 1.75000000000000000e+02, 5.43939837762631630e-05,-8.00000000000000000e+01
 2.00000000000000000e+02, 5.43943171411277594e-05,-8.00000000000000000e+01
 2.25000000000000000e+02, 5.43946505059923895e-05,-8.00000000000000000e+01
 2.50000000000000000e+02, 5.43949838708569791e-05,-8.00000000000000000e+01
 2.75000000000000000e+02, 5.43953172357215889e-05,-8.00000000000000000e+01
 3.00000000000000000e+02, 5.43956506005862056e-05,-8.00000000000000000e+01
 3.25000000000000000e+02, 5.43959839654508087e-05,-8.00000000000000000e+01
 3.50000000000000000e+02, 5.43963173303154185e-05,-8.00000000000000000e+01
 3.75000000000000000e+02, 5.43966478456180520e-05,-8.00000000000000000e+01
 4.00000000000000000e+02, 5.43968910496540569e-05,-8.00000000000000000e+01
 4.25000000000000000e+02, 5.43971266591308911e-05,-8.00000000000000000e+01
 4.50000000000000000e+02, 5.43973546740485409e-05,-8.00000000000000000e+01
 4.75000000000000000e+02, 5.43975750944070539e-05,-8.00000000000000000e+01
 5.00000000000000000e+02, 5.43977879202063624e-05,-8.00000000000000000e+01
 5.25000000000000000e+02, 5.43979931514465204e-05,-8.00000000000000000e+01
 5.50000000000000000e+02, 5.43981907881275077e-05,-8.00000000000000000e+01
 5.75000000000000000e+02, 5.43983808302493242e-05,-8.00000000000000000e+01
 6.00000000000000000e+02, 5.43985632778119836e-05,-8.00000000000000000e+01
 6.25000000000000000e+02, 5.43987381308154655e-05,-8.00000000000000000e+01
 6.50000000000000000e+02, 5.43989053892597699e-05,-8.00000000000000000e+01
 6.75000000000000000e+02, 5.43990650531449104e-05,-8.00000000000000000e+01
 7.00000000000000000e+02, 5.43992171224708733e-05,-8.00000000000000000e+01
 7.25000000000000000e+02, 5.43993615972376859e-05,-8.00000000000000000e+01
 7.50000000000000000e+02, 5.43994984774453277e-05,-8.00000000000000000e+01
 7.75000000000000000e+02, 5.43996277630938056e-05,-8.00000000000000000e+01
 8.00000000000000000e+02, 5.43997494541831127e-05,-8.00000000000000000e+01
 8.25000000000000000e+02, 5.43998635507132356e-05,-8.00000000000000000e+01
 8.50000000000000000e+02, 5.43999700526841945e-05,-8.00000000000000000e+01
 8.75000000000000000e+02, 5.44000689600959827e-05,-8.00000000000000000e+01
 9.00000000000000000e+02, 5.44001602729486206e-05,-8.00000000000000000e+01
 9.25000000000000000e+02, 5.44002439912420673e-05,-8.00000000000000000e+01
 9.50000000000000000e+02, 5.44003427993958581e-05,-8.00000000000000000e+01
 9.75000000000000000e+02, 5.44004771634940749e-05,-8.00000000000000000e+01
 1.00000000000000000e+03, 5.44006069463850181e-05,-8.00000000000000000e+01
 1.02500000000000000e+03, 5.44007321480686877e-05,-8.00000000000000000e+01
 1.05000000000000000e+03, 5.44008527685450836e-05,-8.00000000000000000e+01
 1.07500000000000000e+03, 5.44009688078142263e-05,-8.00000000000000000e+01
 1.10000000000000000e+03, 5.44010802658760953e-05,-8.00000000000000000e+01
 1.12500000000000000e+03, 5.44011871427306840e-05,-8.00000000000000000e+01
 1.15000000000000000e+03, 5.44012894383780058e-05,-8.00000000000000000e+01
 1.17500000000000000e+03, 5.44013871528180472e-05,-8.00000000000000000e+01
 1.20000000000000000e+03, 5.44014802860508354e-05,-8.00000000000000000e+01
 1.22500000000000000e+03, 5.44015688380763567e-05,-8.00000000000000000e+01
 1.25000000000000000e+03, 5.44016528088945976e-05,-8.00000000000000000e+01
 1.27500000000000000e+03, 5.44017321985055852e-05,-8.00000000000000000e+01
 1.30000000000000000e+03, 5.44018070069092721e-05,-8.00000000000000000e+01
 1.32500000000000000e+03, 5.44018772341057057e-05,-8.00000000000000000e+01
 1.35000000000000000e+03, 5.44019428800948725e-05,-8.00000000000000000e+01
 1.37500000000000000e+03, 5.44020039448767792e-05,-8.00000000000000000e+01
 1.40000000000000000e+03, 5.44020604284513987e-05,-8.00000000000000000e+01
 1.42500000000000000e+03, 5.44021123308187447e-05,-8.00000000000000000e+01
 1.45000000000000000e+03, 5.44021596519788305e-05,-8.00000000000000000e+01
 1.47500000000000000e+03, 5.44022023919316428e-05,-8.00000000000000000e+01
 1.50000000000000000e+03, 5.44022405506771950e-05,-8.00000000000000000e+01
 1.52500000000000000e+03, 5.44022741282154600e-05,-8.00000000000000000e+01
 1.55000000000000000e+03, 5.44023031245464582e-05,-8.00000000000000000e+01
 1.57500000000000000e+03, 5.44023275396702031e-05,-8.00000000000000000e+01
 1.60000000000000000e+03, 5.44023473735866811e-05,-8.00000000000000000e+01
 1.62500000000000000e+03, 5.44023626262958652e-05,-8.00000000000000000e+01
 1.65000000000000000e+03, 5.44023732977977893e-05,-8.00000000000000000e+01
 1.67500000000000000e+03, 5.44023793880924329e-05,-8.00000000000000000e+01
 1.70000000000000000e+03, 5.44023808971798368e-05,-8.00000000000000000e+01
 1.72500000000000000e+03, 5.44023778250599468e-05,-8.00000000000000000e+01
 1.75000000000000000e+03, 5.44023701717327900e-05,-8.00000000000000000e+01
 1.77500000000000000e+03, 5.44023579371983663e-05,-8.00000000000000000e+01
 1.80000000000000000e+03, 5.44023411214566554e-05,-8.00000000000000000e+01
 1.82500000000000000e+03, 5.44023197245077048e-05,-8.00000000000000000e+01
 1.85000000000000000e+03, 5.44022937463514602e-05,-8.00000000000000000e+01
 1.87500000000000000e+03, 5.44022631869879624e-05,-8.00000000000000000e+01
 1.90000000000000000e+03, 5.44022280464171910e-05,-8.00000000000000000e+01
 1.92500000000000000e+03, 5.44021883246391459e-05,-8.00000000000000000e+01
 1.95000000000000000e+03, 5.44021440216538340e-05,-8.00000000000000000e+01
 1.97500000000000000e+03, 5.44020951374612417e-05,-8.00000000000000000e+01
 2.00000000000000000e+03,-1.63206243812250522e-04,-1.00000000000000000e+02
 2.02500000000000000e+03,-8.45979164492887613e-05,-1.00000000000000000e+02
 2.05000000000000000e+03,-5.07120467609578225e-05,-1.00000000000000000e+02
 2.07500000000000000e+03,-3.69031623437491503e-05,-1.00000000000000000e+02
 2.10000000000000000e+03,-3.07547027409613738e-05,-1.00000000000000000e+02
 2.12500000000000000e+03,-2.75726857152409227e-05,-1.00000000000000000e+02
 2.15000000000000000e+03,-2.58109669468234482e-05,-1.00000000000000000e+02
 2.17500000000000000e+03,-2.47013062690897668e-05,-1.00000000000000000e+02
 2.20000000000000000e+03,-2.38739633550200067e-05,-1.00000000000000000e+02
 2.22500000000000000e+03,-2.31959698203005583e-05,-1.00000000000000000e+02
 2.25000000000000000e+03,-2.25976038196451433e-05,-1.00000000000000000e+02
 2.27500000000000000e+03,-2.20515865098673008e-05,-1.00000000000000000e+02
 2.30000000000000000e+03,-2.15415419002343404e-05,-1.00000000000000000e+02
 2.32500000000000000e+03,-2.10829005612012059e-05,-1.00000000000000000e+02
 2.35000000000000000e+03,-2.05679261813762944e-05,-1.00000000000000000e+02
 2.37500000000000000e+03,-2.00950721929799875e-05,-1.00000000000000000e+02
 2.40000000000000000e+03,-1.97631725565116824e-05,-1.00000000000000000e+02
 2.42500000000000000e+03,-1.94018896414562565e-05,-1.00000000000000000e+02
 2.45000000000000000e+03,-1.90245090871486909e-05,-1.00000000000000000e+02
 2.47500000000000000e+03,-1.87536187856032164e-05,-1.00000000000000000e+02
 2.50000000000000000e+03,-1.86071315840892090e-05,-1.00000000000000000e+02
 2.52500000000000000e+03,-1.83927436341095305e-05,-1.00000000000000000e+02
 2.55000000000000000e+03,-1.82146425368692127e-05,-1.00000000000000000e+02
 2.57500000000000000e+03,-1.80747867309126925e-05,-1.00000000000000000e+02
 2.60000000000000000e+03,-1.79459346949892424e-05,-1.00000000000000000e+02
 2.62500000000000000e+03,-1.78160051221507913e-05,-1.00000000000000000e+02
 2.65000000000000000e+03,-1.76779806492634810e-05,-1.00000000000000000e+02
 2.67500000000000000e+03,-1.75274088447254630e-05,-1.00000000000000000e+02
 2.70000000000000000e+03,-1.73928883356192256e-05,-1.00000000000000000e+02
 2.72500000000000000e+03,-1.72586781918822608e-05,-1.00000000000000000e+02
 2.75000000000000000e+03,-1.71261168869661112e-05,-1.00000000000000000e+02
 2.77500000000000000e+03,-1.69984308481403634e-05,-1.00000000000000000e+02
 2.80000000000000000e+03,-1.68796485791301460e-05,-1.00000000000000000e+02
 2.82500000000000000e+03,-1.67748950748926413e-05,-1.00000000000000000e+02
 2.85000000000000000e+03,-1.66799206010943873e-05,-1.00000000000000000e+02
 2.87500000000000000e+03,-1.65653245401590170e-05,-1.00000000000000000e+02
 2.90000000000000000e+03,-1.64510694126972652e-05,-1.00000000000000000e+02
 2.92500000000000000e+03,-1.63411932408248936e-05,-1.00000000000000000e+02
 2.95000000000000000e+03,-1.62414766966034885e-05,-1.00000000000000000e+02
 2.97500000000000000e+03,-1.61594431020404336e-05,-1.00000000000000000e+02
 3.00000000000000000e+03,-1.61043584290889505e-05,-1.00000000000000000e+02
 3.02500000000000000e+03,-1.60872312996480582e-05,-1.00000000000000000e+02
 3.05000000000000000e+03,-1.60545774611862014e-05,-1.00000000000000000e+02
 3.07500000000000000e+03,-1.59730188684959493e-05,-1.00000000000000000e+02
 3.10000000000000000e+03,-1.58967041997385961e-05,-1.00000000000000000e+02
 3.12500000000000000e+03,-1.58297640635629654e-05,-1.00000000000000000e+02
 3.15000000000000000e+03,-1.57772022996900899e-05,-1.00000000000000000e+02
 3.17500000000000000e+03,-1.57448959789131975e-05,-1.00000000000000000e+02
 3.20000000000000000e+03,-1.57395954030977251e-05,-1.00000000000000000e+02
 3.22500000000000000e+03,-1.57689241051813256e-05,-1.00000000000000000e+02
 3.25000000000000000e+03,-1.57638817451106159e-05,-1.00000000000000000e+02
 3.27500000000000000e+03,-1.57391028743174627e-05,-1.00000000000000000e+02
 3.30000000000000000e+03,-1.57178991742324458e-05,-1.00000000000000000e+02
 3.32500000000000000e+03,-1.57007357761016046e-05,-1.00000000000000000e+02
 3.35000000000000000e+03,-1.56881843689434787e-05,-1.00000000000000000e+02
 3.37500000000000000e+03,-1.56809231995491722e-05,-1.00000000000000000e+02
 3.40000000000000000e+03,-1.56797370724822995e-05,-1.00000000000000000e+02
 3.42500000000000000e+03,-1.56855173500790295e-05,-1.00000000000000000e+02
 3.45000000000000000e+03,-1.56812956208258850e-05,-1.00000000000000000e+02
 3.47500000000000000e+03,-1.56767311066183579e-05,-1.00000000000000000e+02
 3.50000000000000000e+03,-1.56720611419990921e-05,-1.00000000000000000e+02
 3.52500000000000000e+03,-1.56667750955810837e-05,-1.00000000000000000e+02
 3.55000000000000000e+03,-1.56603393838172793e-05,-1.00000000000000000e+02
 3.57500000000000000e+03,-1.56521974710005621e-05,-1.00000000000000000e+02
 3.60000000000000000e+03,-1.56417698692637658e-05,-1.00000000000000000e+02
 3.62500000000000000e+03,-1.56297121525032067e-05,-1.00000000000000000e+02
 3.65000000000000000e+03,-1.56221477720697311e-05,-1.00000000000000000e+02
 3.67500000000000000e+03,-1.56145154132844024e-05,-1.00000000000000000e+02
 3.70000000000000000e+03,-1.56069248722996591e-05,-1.00000000000000000e+02
 3.72500000000000000e+03,-1.55995215455479372e-05,-1.00000000000000000e+02
 3.75000000000000000e+03,-1.55924864297416493e-05,-1.00000000000000000e+02
 3.77500000000000000e+03,-1.55860361218732262e-05,-1.00000000000000000e+02
 3.80000000000000000e+03,-1.55804228192150920e-05,-1.00000000000000000e+02
 3.82500000000000000e+03,-1.55750188970320875e-05,-1.00000000000000000e+02
 3.85000000000000000e+03,-1.55689043812401379e-05,-1.00000000000000000e+02
 3.87500000000000000e+03,-1.55633013392955675e-05,-1.00000000000000000e+02
 3.90000000000000000e+03,-1.55583630047731175e-05,-1.00000000000000000e+02
 3.92500000000000000e+03,-1.55542604165164291e-05,-1.00000000000000000e+02
 3.95000000000000000e+03,-1.55511824186381621e-05,-1.00000000000000000e+02
 3.97500000000000000e+03,-1.55493356605199136e-05,-1.00000000000000000e+02
 4.00000000000000000e+03,-1.55489445968122283e-05,-1.00000000000000000e+02
 4.02500000000000000e+03,-1.55466097104052242e-05,-1.00000000000000000e+02
 4.05000000000000000e+03,-1.55422779781685949e-05,-1.00000000000000000e+02
 4.07500000000000000e+03,-1.55378251145535733e-05,-1.00000000000000000e+02
 4.10000000000000000e+03,-1.55333169589231667e-05,-1.00000000000000000e+02
 4.12500000000000000e+03,-1.55288408120376647e-05,-1.00000000000000000e+02
 4.15000000000000000e+03,-1.55245054360545980e-05,-1.00000000000000000e+02
 4.17500000000000000e+03,-1.55204410545287456e-05,-1.00000000000000000e+02
 4.20000000000000000e+03,-1.55167993524121480e-05,-1.00000000000000000e+02
 4.22500000000000000e+03,-1.55137534760540905e-05,-1.00000000000000000e+02
 4.25000000000000000e+03,-1.55114980332011166e-05,-1.00000000000000000e+02
 4.27500000000000000e+03,-1.55102490929970179e-05,-1.00000000000000000e+02
 4.30000000000000000e+03,-1.55102441859828477e-05,-1.00000000000000000e+02
 4.32500000000000000e+03,-1.55117423040969008e-05,-1.00000000000000000e+02
 4.35000000000000000e+03,-1.55150239006747299e-05,-1.00000000000000000e+02
 4.37500000000000000e+03,-1.55203908904491429e-05,-1.00000000000000000e+02
 4.40000000000000000e+03,-1.55172543644018126e-05,-1.00000000000000000e+02
 4.42500000000000000e+03,-1.55139493779933194e-05,-1.00000000000000000e+02
 4.45000000000000000e+03,-1.55106631216521721e-05,-1.00000000000000000e+02
 4.47500000000000000e+03,-1.55074717711444644e-05,-1.00000000000000000e+02
 4.50000000000000000e+03,-1.55044616423406495e-05,-1.00000000000000000e+02
 4.52500000000000000e+03,-1.55017291912155808e-05,-1.00000000000000000e+02
 4.55000000000000000e+03,-1.54993810138485015e-05,-1.00000000000000000e+02
 4.57500000000000000e+03,-1.54975338464230180e-05,-1.00000000000000000e+02
 4.60000000000000000e+03,-1.54963145652271433e-05,-1.00000000000000000e+02
 4.62500000000000000e+03,-1.54958601866532533e-05,-1.00000000000000000e+02
 4.65000000000000000e+03,-1.54963178671981311e-05,-1.00000000000000000e+02
 4.67500000000000000e+03,-1.54978449034629289e-05,-1.00000000000000000e+02
 4.70000000000000000e+03,-1.55006087321531827e-05,-1.00000000000000000e+02
 4.72500000000000000e+03,-1.55047869300788147e-05,-1.00000000000000000e+02
 4.75000000000000000e+03,-1.55080858345152847e-05,-1.00000000000000000e+02
 4.77500000000000000e+03,-1.55074134030682230e-05,-1.00000000000000000e+02
 4.80000000000000000e+03,-1.55067974189705431e-05,-1.00000000000000000e+02
 4.82500000000000000e+03,-1.55062513924735193e-05,-1.00000000000000000e+02
 4.85000000000000000e+03,-1.55057903779874862e-05,-1.00000000000000000e+02
 4.87500000000000000e+03,-1.55054309740817918e-05,-1.00000000000000000e+02
 4.90000000000000000e+03,-1.55051913234848410e-05,-1.00000000000000000e+02
 4.92500000000000000e+03,-1.55050911130840590e-05,-1.00000000000000000e+02
 4.95000000000000000e+03,-1.55051515739259110e-05,-1.00000000000000000e+02
 4.97500000000000000e+03,-1.55053954812159094e-05,-1.00000000000000000e+02
 5.00000000000000000e+03,-1.55058471543185898e-05,-1.00000000000000000e+02
 5.02500000000000000e+03,-1.55065324567575182e-05,-1.00000000000000000e+02
 5.05000000000000000e+03,-1.55074787962153140e-05,-1.00000000000000000e+02
