"current","time","voltage"
 0.00000000000000000e+00, 0.00000000000000000e+00,-8.00000000000000000e+01
 7.87212339968971971e-06, 2.50000000000000000e+01,-8.00000000000000000e+01
 1.25956875065178672e-05, 5.00000000000000000e+01,-8.00000000000000000e+01
 1.51792515319541175e-05, 7.50000000000000000e+01,-8.00000000000000000e+01
 1.67276434896049893e-05, 1.00000000000000000e+02,-8.00000000000000000e+01
 1.76521467176863939e-05, 1.25000000000000000e+02,-7.99999999999999858e+01
 1.82012863527915431e-05, 1.50000000000000000e+02,-8.00000000000000000e+01
 1.85722827877767914e-05, 1.75000000000000000e+02,-8.00000000000000000e+01
 1.88089380983251526e-05, 2.00000000000000000e+02,-8.00000000000000000e+01
 1.89627186776903120e-05, 2.25000000000000000e+02,-8.00000000000000000e+01
 1.90525784002249388e-05, 2.50000000000000000e+02,-8.00000000000000000e+01
 1.91357047842083388e-05, 2.75000000000000000e+02,-7.99999999999999858e+01
 1.91805434187902954e-05, 3.00000000000000000e+02,-8.00000000000000000e+01
 1.92168240187231358e-05, 3.25000000000000000e+02,-8.00000000000000000e+01
 1.92321280252880822e-05, 3.50000000000000000e+02,-8.00000000000000000e+01
 1.92411589129354206e-05, 3.75000000000000000e+02,-8.00000000000000000e+01
 1.92418731109699650e-05, 4.00000000000000000e+02,-8.00000000000000000e+01
 1.92413608836225334e-05, 4.25000000000000000e+02,-8.00000000000000000e+01
 1.92399240955259474e-05, 4.50000000000000000e+02,-8.00000000000000000e+01
 1.92399075303376360e-05, 4.75000000000000000e+02,-8.00000000000000000e+01
 1.92404700087735006e-05, 5.00000000000000000e+02,-8.00000000000000000e+01
 1.92437858940928943e-05, 5.25000000000000000e+02,-8.00000000000000142e+01
 1.92475854847440952e-05, 5.50000000000000000e+02,-8.00000000000000000e+01
 1.92513850753952961e-05, 5.75000000000000000e+02,-8.00000000000000000e+01
 1.92551846660464970e-05, 6.00000000000000000e+02,-8.00000000000000000e+01
 1.92584005366878191e-05, 6.25000000000000000e+02,-8.00000000000000000e+01
 1.92611592876835926e-05, 6.50000000000000000e+02,-8.00000000000000000e+01
 1.92639180386793593e-05, 6.75000000000000000e+02,-8.00000000000000000e+01
 1.92666767896751362e-05, 7.00000000000000000e+02,-8.00000000000000000e+01
 1.92680588140930873e-05, 7.25000000000000000e+02,-8.00000000000000000e+01
 1.92657384777810717e-05, 7.50000000000000000e+02,-8.00000000000000000e+01
 1.92634181414690595e-05, 7.75000000000000000e+02,-8.00000000000000000e+01
 1.92610978051570472e-05, 8.00000000000000000e+02,-8.00000000000000000e+01
 1.92587774688450350e-05, 8.25000000000000000e+02,-8.00000000000000000e+01
 1.92554758761315551e-05, 8.50000000000000000e+02,-8.00000000000000142e+01
 1.92521555835125358e-05, 8.75000000000000000e+02,-8.00000000000000142e+01
 1.92488352908935166e-05, 9.00000000000000000e+02,-8.00000000000000142e+01
 1.92455149982744973e-05, 9.25000000000000000e+02,-8.00000000000000142e+01
 1.92438556565594328e-05, 9.50000000000000000e+02,-8.00000000000000142e+01
 1.92429371762071116e-05, 9.75000000000000000e+02,-8.00000000000000142e+01
 1.92420186958547904e-05, 1.00000000000000000e+03,-8.00000000000000142e+01
 1.92411002155024658e-05, 1.02500000000000000e+03,-8.00000000000000000e+01
 1.92407674705616528e-05, 1.05000000000000000e+03,-8.00000000000000142e+01
 1.92413068336962251e-05, 1.07500000000000000e+03,-8.00000000000000000e+01
 1.92418461968308008e-05, 1.10000000000000000e+03,-8.00000000000000000e+01
 1.92423855599653732e-05, 1.12500000000000000e+03,-8.00000000000000142e+01
 1.92428946486123981e-05, 1.15000000000000000e+03,-8.00000000000000000e+01
 1.92431637605390430e-05, 1.17500000000000000e+03,-8.00000000000000000e+01
 1.92434328724656878e-05, 1.20000000000000000e+03,-8.00000000000000142e+01
 1.92437019843923292e-05, 1.22500000000000000e+03,-8.00000000000000000e+01
 1.92439710963189741e-05, 1.25000000000000000e+03,-8.00000000000000142e+01
 1.92440712274293339e-05, 1.27500000000000000e+03,-8.00000000000000000e+01
 1.92441348328174413e-05, 1.30000000000000000e+03,-8.00000000000000142e+01
 1.92441984382055452e-05, 1.32500000000000000e+03,-8.00000000000000000e+01
 1.92442620435936559e-05, 1.35000000000000000e+03,-8.00000000000000000e+01
 1.92443256489817599e-05, 1.37500000000000000e+03,-8.00000000000000000e+01
 1.92443892543698672e-05, 1.40000000000000000e+03,-8.00000000000000000e+01
 1.92444528597579779e-05, 1.42500000000000000e+03,-8.00000000000000142e+01
 1.92444686692410782e-05, 1.45000000000000000e+03,-8.00000000000000000e+01
 1.92444167353293037e-05, 1.47500000000000000e+03,-8.00000000000000142e+01
 1.92443648014175326e-05, 1.50000000000000000e+03,-8.00000000000000142e+01
 1.92443128675057616e-05, 1.52500000000000000e+03,-8.00000000000000142e+01
 1.92442609335939871e-05, 1.55000000000000000e+03,-8.00000000000000000e+01
 1.92442089996822127e-05, 1.57500000000000000e+03,-8.00000000000000142e+01
 1.92441570657704416e-05, 1.60000000000000000e+03,-8.00000000000000000e+01
 1.92441048412479683e-05, 1.62500000000000000e+03,-8.00000000000000000e+01
 1.92439957937124201e-05, 1.65000000000000000e+03,-8.00000000000000000e+01
 1.92438867461768720e-05, 1.67500000000000000e+03,-8.00000000000000142e+01
 1.92437776986413205e-05, 1.70000000000000000e+03,-8.00000000000000000e+01
 1.92436686511057690e-05, 1.72500000000000000e+03,-8.00000000000000142e+01
 1.92435596035702209e-05, 1.75000000000000000e+03,-8.00000000000000142e+01
 1.92434505560346693e-05, 1.77500000000000000e+03,-8.00000000000000000e+01
 1.92433415084991212e-05, 1.80000000000000000e+03,-8.00000000000000000e+01
 1.92432823563515077e-05, 1.82500000000000000e+03,-8.00000000000000142e+01
 1.92432569557392572e-05, 1.85000000000000000e+03,-8.00000000000000000e+01
 1.92432315551269999e-05, 1.87500000000000000e+03,-8.00000000000000000e+01
 1.92432061545147495e-05, 1.90000000000000000e+03,-8.00000000000000000e+01
 1.92431807539024990e-05, 1.92500000000000000e+03,-8.00000000000000000e+01
 1.92431553532902451e-05, 1.95000000000000000e+03,-8.00000000000000000e+01
 1.92431299526779913e-05, 1.97500000000000000e+03,-8.00000000000000000e+01
 1.92431045520657408e-05, 2.00000000000000000e+03,-8.00000000000000000e+01
-2.85793913178437686e-05, 2.02500000000000000e+03,-1.00000000000000000e+02
-1.35870286269364847e-05, 2.05000000000000000e+03,-1.00000000000000014e+02
-7.16719379686939600e-06, 2.07500000000000000e+03,-1.00000000000000014e+02
-4.29283450723837850e-06, 2.10000000000000000e+03,-1.00000000000000014e+02
-3.04334553490812091e-06, 2.12500000000000000e+03,-1.00000000000000000e+02
-2.46936064137019689e-06, 2.15000000000000000e+03,-1.00000000000000014e+02
-2.20917102771789938e-06, 2.17500000000000000e+03,-1.00000000000000000e+02
-2.08855304501365081e-06, 2.20000000000000000e+03,-1.00000000000000000e+02
-2.04300734955119530e-06, 2.22500000000000000e+03,-1.00000000000000014e+02
-2.01951573993659305e-06, 2.25000000000000000e+03,-1.00000000000000000e+02
-2.00459755847188679e-06, 2.27500000000000000e+03,-1.00000000000000000e+02
-1.99677823998742488e-06, 2.30000000000000000e+03,-1.00000000000000000e+02
-1.99498727014738050e-06, 2.32500000000000000e+03,-1.00000000000000000e+02
-1.99680915933131224e-06, 2.35000000000000000e+03,-1.00000000000000014e+02
-1.99859527560283094e-06, 2.37500000000000000e+03,-1.00000000000000000e+02
-2.00009687824987729e-06, 2.40000000000000000e+03,-1.00000000000000014e+02
-2.00152042009931396e-06, 2.42500000000000000e+03,-1.00000000000000000e+02
-2.00261017815325830e-06, 2.45000000000000000e+03,-1.00000000000000000e+02
-2.00245007792713596e-06, 2.47500000000000000e+03,-1.00000000000000000e+02
-2.00228997770101404e-06, 2.50000000000000000e+03,-1.00000000000000000e+02
-2.00175619940444053e-06, 2.52500000000000000e+03,-1.00000000000000000e+02
-2.00101028007592465e-06, 2.55000000000000000e+03,-1.00000000000000000e+02
-2.00028723402306619e-06, 2.57500000000000000e+03,-1.00000000000000000e+02
-1.99989334188034590e-06, 2.60000000000000000e+03,-1.00000000000000000e+02
-1.99949944973762476e-06, 2.62500000000000000e+03,-1.00000000000000000e+02
-1.99921845119724938e-06, 2.65000000000000000e+03,-1.00000000000000000e+02
