"current","time","voltage"
 9.28054572672352483e-08, 0.00000000000000000e+00,-8.00000000000000000e+01
 9.28248489074766528e-08, 2.50000000000000000e+01,-8.00000000000000000e+01
 9.28440662500141576e-08, 5.00000000000000000e+01,-8.00000000000000000e+01
 9.28632835925516623e-08, 7.50000000000000000e+01,-8.00000000000000000e+01
 9.28825009350891670e-08, 1.00000000000000000e+02,-8.00000000000000000e+01
 9.29017182776266718e-08, 1.25000000000000000e+02,-8.00000000000000000e+01
 9.29209356201641633e-08, 1.50000000000000000e+02,-7.99999999999999858e+01
 9.29401529627016813e-08, 1.75000000000000000e+02,-8.00000000000000000e+01
 9.29593703052391728e-08, 2.00000000000000000e+02,-8.00000000000000000e+01
 9.29785876477766908e-08, 2.25000000000000000e+02,-8.00000000000000000e+01
 9.29978049903141955e-08, 2.50000000000000000e+02,-8.00000000000000000e+01
 9.30170223328517002e-08, 2.75000000000000000e+02,-8.00000000000000000e+01
 9.30362396753892050e-08, 3.00000000000000000e+02,-8.00000000000000000e+01
 9.30554570179267097e-08, 3.25000000000000000e+02,-8.00000000000000000e+01
 9.30746743604642012e-08, 3.50000000000000000e+02,-8.00000000000000000e+01
 9.30938917030017192e-08, 3.75000000000000000e+02,-8.00000000000000000e+01
 9.31131090455392240e-08, 4.00000000000000000e+02,-8.00000000000000000e+01
 9.31323263880767287e-08, 4.25000000000000000e+02,-8.00000000000000000e+01
 9.31515437306142335e-08, 4.50000000000000000e+02,-8.00000000000000000e+01
 9.31707610731517382e-08, 4.75000000000000000e+02,-8.00000000000000000e+01
 9.31899784156892562e-08, 5.00000000000000000e+02,-8.00000000000000000e+01
 9.32091957582267742e-08, 5.25000000000000000e+02,-8.00000000000000000e+01
 9.32284131007642657e-08, 5.50000000000000000e+02,-8.00000000000000000e+01
 9.32476304433017704e-08, 5.75000000000000000e+02,-8.00000000000000000e+01
 9.32668477858392752e-08, 6.00000000000000000e+02,-8.00000000000000000e+01
 9.32860651283767799e-08, 6.25000000000000000e+02,-8.00000000000000000e+01
 9.33052824709142846e-08, 6.50000000000000000e+02,-7.99999999999999858e+01
 9.33244998134517894e-08, 6.75000000000000000e+02,-8.00000000000000000e+01
 9.33339905170632132e-08, 7.00000000000000000e+02,-8.00000000000000000e+01
 9.33351682276904854e-08, 7.25000000000000000e+02,-8.00000000000000000e+01
 9.33363459383177312e-08, 7.50000000000000000e+02,-8.00000000000000000e+01
 9.33375236489449903e-08, 7.75000000000000000e+02,-8.00000000000000000e+01
 9.33387013595722493e-08, 8.00000000000000000e+02,-8.00000000000000000e+01
 9.33398790701995216e-08, 8.25000000000000000e+02,-8.00000000000000142e+01
 9.33410567808267674e-08, 8.50000000000000000e+02,-8.00000000000000142e+01
 9.33422344914540397e-08, 8.75000000000000000e+02,-8.00000000000000142e+01
 9.33434122020813120e-08, 9.00000000000000000e+02,-8.00000000000000142e+01
 9.33445899127085578e-08, 9.25000000000000000e+02,-8.00000000000000142e+01
 9.33457676233358168e-08, 9.50000000000000000e+02,-8.00000000000000142e+01
 9.33469453339630759e-08, 9.75000000000000000e+02,-8.00000000000000142e+01
 9.33481230445903349e-08, 1.00000000000000000e+03,-8.00000000000000142e+01
 9.33493007552175940e-08, 1.02500000000000000e+03,-8.00000000000000142e+01
 9.33504784658448530e-08, 1.05000000000000000e+03,-8.00000000000000142e+01
 9.33516561764721121e-08, 1.07500000000000000e+03,-8.00000000000000142e+01
 9.33528338870993711e-08, 1.10000000000000000e+03,-8.00000000000000000e+01
 9.33540115977266302e-08, 1.12500000000000000e+03,-8.00000000000000000e+01
 9.33551893083538892e-08, 1.15000000000000000e+03,-8.00000000000000000e+01
 9.33563670189811482e-08, 1.17500000000000000e+03,-8.00000000000000000e+01
 9.33575447296084073e-08, 1.20000000000000000e+03,-8.00000000000000142e+01
 9.33587224402356663e-08, 1.22500000000000000e+03,-8.00000000000000000e+01
 9.33599001508629254e-08, 1.25000000000000000e+03,-8.00000000000000000e+01
 9.33610778614901844e-08, 1.27500000000000000e+03,-8.00000000000000000e+01
 9.33622555721174567e-08, 1.30000000000000000e+03,-8.00000000000000142e+01
 9.33634332827447157e-08, 1.32500000000000000e+03,-8.00000000000000142e+01
 9.33646109933719748e-08, 1.35000000000000000e+03,-8.00000000000000142e+01
 9.33657887039992206e-08, 1.37500000000000000e+03,-8.00000000000000142e+01
 9.33669664146264929e-08, 1.40000000000000000e+03,-8.00000000000000142e+01
 9.33681441252537519e-08, 1.42500000000000000e+03,-8.00000000000000284e+01
 9.33693218358810110e-08, 1.45000000000000000e+03,-8.00000000000000000e+01
 9.33704995465082568e-08, 1.47500000000000000e+03,-8.00000000000000000e+01
 9.33716772571355291e-08, 1.50000000000000000e+03,-8.00000000000000000e+01
 9.33728549677627749e-08, 1.52500000000000000e+03,-8.00000000000000142e+01
 9.33740326783900472e-08, 1.55000000000000000e+03,-8.00000000000000142e+01
 9.33752103890173062e-08, 1.57500000000000000e+03,-8.00000000000000142e+01
 9.33763880996445652e-08, 1.60000000000000000e+03,-8.00000000000000142e+01
 9.33775658102718111e-08, 1.62500000000000000e+03,-8.00000000000000142e+01
 9.33787435208990833e-08, 1.65000000000000000e+03,-8.00000000000000142e+01
 9.33799212315263291e-08, 1.67500000000000000e+03,-8.00000000000000142e+01
 9.33810989421536014e-08, 1.70000000000000000e+03,-8.00000000000000142e+01
 9.33822766527808605e-08, 1.72500000000000000e+03,-8.00000000000000142e+01
 9.33834543634081195e-08, 1.75000000000000000e+03,-8.00000000000000142e+01
 9.33846320740353786e-08, 1.77500000000000000e+03,-8.00000000000000142e+01
 9.33858097846626376e-08, 1.80000000000000000e+03,-8.00000000000000142e+01
 9.33869874952899099e-08, 1.82500000000000000e+03,-8.00000000000000142e+01
 9.33881652059171557e-08, 1.85000000000000000e+03,-8.00000000000000284e+01
 9.33893429165444280e-08, 1.87500000000000000e+03,-8.00000000000000284e+01
 9.33905206271716738e-08, 1.90000000000000000e+03,-8.00000000000000284e+01
 9.33916983377989328e-08, 1.92500000000000000e+03,-8.00000000000000142e+01
 9.33928760484261919e-08, 1.95000000000000000e+03,-8.00000000000000142e+01
 9.33940537590534509e-08, 1.97500000000000000e+03,-8.00000000000000142e+01
 9.33952314696806967e-08, 2.00000000000000000e+03,-8.00000000000000000e+01
-3.46911142914686992e-07, 2.02500000000000000e+03,-1.00000000000000000e+02
-3.21540440493277009e-07, 2.05000000000000000e+03,-1.00000000000000000e+02
-2.96169738071867080e-07, 2.07500000000000000e+03,-9.99999999999999858e+01
-2.70799035650457097e-07, 2.10000000000000000e+03,-1.00000000000000000e+02
-2.45428333229047168e-07, 2.12500000000000000e+03,-1.00000000000000000e+02
-2.24032115171759300e-07, 2.15000000000000000e+03,-1.00000000000000014e+02
-2.09070756099112617e-07, 2.17500000000000000e+03,-1.00000000000000000e+02
-1.94109397026465934e-07, 2.20000000000000000e+03,-1.00000000000000014e+02
-1.79148037953819277e-07, 2.22500000000000000e+03,-1.00000000000000000e+02
-1.64186678881172593e-07, 2.25000000000000000e+03,-1.00000000000000000e+02
-1.49225319808525910e-07, 2.27500000000000000e+03,-1.00000000000000000e+02
-1.34263960735879200e-07, 2.30000000000000000e+03,-1.00000000000000014e+02
-1.19302601663232543e-07, 2.32500000000000000e+03,-1.00000000000000000e+02
-1.04341242590585873e-07, 2.35000000000000000e+03,-1.00000000000000000e+02
-8.96192284032715887e-08, 2.37500000000000000e+03,-1.00000000000000000e+02
-8.30433295594767100e-08, 2.40000000000000000e+03,-1.00000000000000014e+02
-7.64674307156818314e-08, 2.42500000000000000e+03,-1.00000000000000000e+02
-6.98915318718869528e-08, 2.45000000000000000e+03,-1.00000000000000000e+02
-6.33156330280920741e-08, 2.47500000000000000e+03,-1.00000000000000000e+02
-5.67397341842971823e-08, 2.50000000000000000e+03,-1.00000000000000000e+02
-5.01638353405023036e-08, 2.52500000000000000e+03,-1.00000000000000000e+02
-4.35879364967074250e-08, 2.55000000000000000e+03,-1.00000000000000014e+02
-3.70120376529125331e-08, 2.57500000000000000e+03,-1.00000000000000014e+02
-3.04361388091176545e-08, 2.60000000000000000e+03,-1.00000000000000000e+02
-2.68633175284997576e-08, 2.62500000000000000e+03,-1.00000000000000000e+02
-2.47346649557033055e-08, 2.65000000000000000e+03,-1.00000000000000000e+02
-2.26060123829068599e-08, 2.67500000000000000e+03,-1.00000000000000000e+02
-2.04773598101104078e-08, 2.70000000000000000e+03,-1.00000000000000000e+02
-1.83487072373139557e-08, 2.72500000000000000e+03,-1.00000000000000000e+02
-1.62200546645175035e-08, 2.75000000000000000e+03,-1.00000000000000000e+02
-1.40914020917210547e-08, 2.77500000000000000e+03,-1.00000000000000000e+02
-1.19627495189246025e-08, 2.80000000000000000e+03,-1.00000000000000014e+02
-9.83409694612815372e-09, 2.82500000000000000e+03,-1.00000000000000000e+02
-7.70544437333169992e-09, 2.85000000000000000e+03,-1.00000000000000000e+02
-5.57679180053524778e-09, 2.87500000000000000e+03,-1.00000000000000000e+02
-3.44813922773879894e-09, 2.90000000000000000e+03,-1.00000000000000000e+02
-1.31948665494235011e-09, 2.92500000000000000e+03,-1.00000000000000000e+02
 8.09165917854102030e-10, 2.95000000000000000e+03,-1.00000000000000000e+02
 2.93781849065055417e-09, 2.97500000000000000e+03,-1.00000000000000000e+02
 5.06647106344700466e-09, 3.00000000000000000e+03,-1.00000000000000000e+02
 7.19512363624345515e-09, 3.02500000000000000e+03,-1.00000000000000000e+02
 9.32377620903990894e-09, 3.05000000000000000e+03,-1.00000000000000000e+02
 1.14524287818363578e-08, 3.07500000000000000e+03,-1.00000000000000000e+02
 1.35810813546328099e-08, 3.10000000000000000e+03,-9.99999999999999858e+01
 1.57097339274292588e-08, 3.12500000000000000e+03,-1.00000000000000000e+02
 1.78383865002257109e-08, 3.15000000000000000e+03,-1.00000000000000000e+02
 1.99670390730221630e-08, 3.17500000000000000e+03,-1.00000000000000000e+02
 2.20956916458186152e-08, 3.20000000000000000e+03,-1.00000000000000000e+02
 2.40291206051737914e-08, 3.22500000000000000e+03,-1.00000000000000014e+02
 2.54396023420767608e-08, 3.25000000000000000e+03,-1.00000000000000000e+02
 2.68500840789797335e-08, 3.27500000000000000e+03,-9.99999999999999858e+01
 2.82605658158827029e-08, 3.30000000000000000e+03,-1.00000000000000000e+02
 2.96710475527856755e-08, 3.32500000000000000e+03,-1.00000000000000000e+02
 3.10815292896886482e-08, 3.35000000000000000e+03,-1.00000000000000000e+02
