"engine.time","ikr.IKr","membrane.V"
 0.00000000000000000e+00, 1.37903478589390081e-02,-8.00000000000000000e+01
 7.63971696701152592e+00, 1.36879821303810996e-02,-8.00000000000000000e+01
 1.52794339340230518e+01, 1.35863925177888614e-02,-8.00000000000000000e+01
 3.19669567755929194e+01, 1.33669306593470049e-02,-8.00000000000000000e+01
 4.86544796171627851e+01, 1.31506883391751053e-02,-8.00000000000000000e+01
 6.53420024587326509e+01, 1.29378866210211746e-02,-8.00000000000000000e+01
 9.41223940497651768e+01, 1.25790216802599050e-02,-8.00000000000000000e+01
 1.68252612959343935e+02, 1.17000029014822336e-02,-8.00000000000000000e+01
 2.42382831868922665e+02, 1.08834109287713771e-02,-8.00000000000000000e+01
 3.16513050778501395e+02, 1.01251035562276489e-02,-8.00000000000000000e+01
 3.90643269688080125e+02, 9.42102028526838747e-03,-8.00000000000000000e+01
 4.64773488597658854e+02, 8.76731779078780520e-03,-8.00000000000000000e+01
 5.38903707507237641e+02, 8.16040272274065268e-03,-8.00000000000000000e+01
 6.13033926416816371e+02, 7.59693035306741645e-03,-8.00000000000000000e+01
 6.87164145326395101e+02, 7.07379243759978602e-03,-8.00000000000000000e+01
 7.61294364235973831e+02, 6.58810222387560922e-03,-8.00000000000000000e+01
 8.35424583145552560e+02, 6.13717925841693671e-03,-8.00000000000000000e+01
 9.09554802055131290e+02, 5.71853484577844462e-03,-8.00000000000000000e+01
 9.83685020964710020e+02, 5.32985839939580444e-03,-8.00000000000000000e+01
 1.05781523987428886e+03, 4.96900471847856046e-03,-8.00000000000000000e+01
 1.13194545878386771e+03, 4.63398215821477378e-03,-8.00000000000000000e+01
 1.20607567769344655e+03, 4.32294164082181517e-03,-8.00000000000000000e+01
 1.28020589660302539e+03, 4.03416645118047541e-03,-8.00000000000000000e+01
 1.35433611551260424e+03, 3.76606276223311921e-03,-8.00000000000000000e+01
 1.42846633442218308e+03, 3.51715083836666572e-03,-8.00000000000000000e+01
 1.50259655333176192e+03, 3.28605686840522868e-03,-8.00000000000000000e+01
 1.57672677224134077e+03, 3.07150538319668313e-03,-8.00000000000000000e+01
 1.65085699115091961e+03, 2.87231221596497477e-03,-8.00000000000000000e+01
 1.72498721006049846e+03, 2.68737796657847298e-03,-8.00000000000000000e+01
 1.79911742897007730e+03, 2.51568193366949423e-03,-8.00000000000000000e+01
 1.87324764787965614e+03, 2.35627648111319879e-03,-8.00000000000000000e+01
 1.94737786678923499e+03, 2.20828180777018048e-03,-8.00000000000000000e+01
 2.00000000000000000e+03, 2.10965547401307076e-03,-8.00000000000000000e+01
 2.00996756898456442e+03,-6.32738307288338315e-03,-1.00000000000000000e+02
 2.01993513796912885e+03,-6.26662573150870306e-03,-1.00000000000000000e+02
 2.04119447214675438e+03,-6.13885035380467778e-03,-1.00000000000000000e+02
 2.06245380632437991e+03,-6.01345582763000014e-03,-1.00000000000000000e+02
 2.08371314050200544e+03,-5.89059619463158744e-03,-1.00000000000000000e+02
 2.12198109788096735e+03,-5.67583373690788012e-03,-1.00000000000000000e+02
 2.19732743840900457e+03,-5.27585622526224613e-03,-1.00000000000000000e+02
 2.27267377893704179e+03,-4.90475579556314597e-03,-1.00000000000000000e+02
 2.34802011946507901e+03,-4.56056982859344602e-03,-1.00000000000000000e+02
 2.46645707193096223e+03,-4.06991881013152312e-03,-1.00000000000000000e+02
 2.58489402439684545e+03,-3.63482728697059028e-03,-1.00000000000000000e+02
 2.70333097686272868e+03,-3.24842265091858200e-03,-1.00000000000000000e+02
 2.82176792932861190e+03,-2.90488659194902037e-03,-1.00000000000000000e+02
 2.94020488179449512e+03,-2.59950070926434542e-03,-1.00000000000000000e+02
 3.05864183426037835e+03,-2.32818763087398696e-03,-1.00000000000000000e+02
 3.17707878672626157e+03,-2.08722614225799420e-03,-1.00000000000000000e+02
 3.29551573919214479e+03,-1.87321475433887392e-03,-1.00000000000000000e+02
 3.51729921199935961e+03,-1.53494206237954735e-03,-1.00000000000000000e+02
 3.73908268480657443e+03,-1.26408072427630505e-03,-1.00000000000000000e+02
 3.96086615761378926e+03,-1.04686405840912042e-03,-1.00000000000000000e+02
 4.18264963042100408e+03,-8.72603113472228040e-04,-1.00000000000000000e+02
 4.61317545207699004e+03,-6.25822289619893009e-04,-1.00000000000000000e+02
 4.87160616314838717e+03,-5.21798602683932349e-04,-1.00000000000000000e+02
 5.13003687421978429e+03,-4.41888731859549019e-04,-1.00000000000000000e+02
 5.38846758529118142e+03,-3.80281780010592032e-04,-1.00000000000000000e+02
 5.64689829636257855e+03,-3.32638265977237152e-04,-1.00000000000000000e+02
 6.05404794998676607e+03,-2.78304704740298613e-04,-1.00000000000000000e+02
 6.46119760361095359e+03,-2.41944347543786677e-04,-1.00000000000000000e+02
 6.86834725723514111e+03,-2.17859585297740981e-04,-1.00000000000000000e+02
 7.00000000000000000e+03,-2.11987124544643033e-04,-1.00000000000000000e+02
 7.00002652682310782e+03, 7.00069906352021452e-05,-8.00000000000000000e+01
 7.01764317591077361e+03, 7.37952103913156235e-05,-8.00000000000000000e+01
 7.06175879762519799e+03, 8.30106425480024555e-05,-8.00000000000000000e+01
 7.10587441933962236e+03, 9.18750262441959140e-05,-8.00000000000000000e+01
 7.14999004105404674e+03, 1.00372480121006815e-04,-8.00000000000000000e+01
 7.24419496708087991e+03, 1.17339531182922784e-04,-8.00000000000000000e+01
 7.33839989310771307e+03, 1.32794832832216591e-04,-8.00000000000000000e+01
 7.43260481913454623e+03, 1.46862709092583741e-04,-8.00000000000000000e+01
 7.52680974516137940e+03, 1.59664138344730645e-04,-8.00000000000000000e+01
 7.77267867946921524e+03, 1.88012682336617074e-04,-8.00000000000000000e+01
 8.01854761377705108e+03, 2.10108820355525401e-04,-8.00000000000000000e+01
 8.26441654808488784e+03, 2.27271548427429907e-04,-8.00000000000000000e+01
 8.51028548239272459e+03, 2.40638930694087169e-04,-8.00000000000000000e+01
 8.75615441670056134e+03, 2.51086896296244880e-04,-8.00000000000000000e+01
 9.00202335100839809e+03, 2.59269713727946333e-04,-8.00000000000000000e+01
 9.24789228531623485e+03, 2.65681931542470311e-04,-8.00000000000000000e+01
 9.49376121962407160e+03, 2.70705532436818909e-04,-8.00000000000000000e+01
 9.73963015393190835e+03, 2.74639772890919204e-04,-8.00000000000000000e+01
 9.98549908823974511e+03, 2.77720149428482084e-04,-8.00000000000000000e+01
 1.00000000000000000e+04, 2.77878907433984248e-04,-8.00000000000000000e+01
 1.00001074355147448e+04, 2.77880084008272387e-04,-8.00000000000000000e+01
 1.00827608159656083e+04, 2.78716154056595422e-04,-8.00000000000000000e+01
 1.03198545066598217e+04, 2.80787106147608885e-04,-8.00000000000000000e+01
 1.05569481973540351e+04, 2.82481176078068204e-04,-8.00000000000000000e+01
 1.09137241565474505e+04, 2.84426393191390420e-04,-8.00000000000000000e+01
 1.12705001157408660e+04, 2.85796647549070516e-04,-8.00000000000000000e+01
 1.16272760749342815e+04, 2.86748781873923759e-04,-8.00000000000000000e+01
 1.20000000000000000e+04, 2.87444068622927959e-04,-8.00000000000000000e+01
 1.20265888213887247e+04,-2.84962399982746726e-04,-9.00000000000000000e+01
 1.20531776427774494e+04,-2.80910750530090976e-04,-9.00000000000000000e+01
 1.21406513895873286e+04,-2.68315836342321713e-04,-9.00000000000000000e+01
 1.22281251363972078e+04,-2.56646270243998751e-04,-9.00000000000000000e+01
 1.23155988832070871e+04,-2.45911179270627014e-04,-9.00000000000000000e+01
 1.25464966302812172e+04,-2.21483009678654383e-04,-9.00000000000000000e+01
 1.27773943773553474e+04,-2.02026666113993642e-04,-9.00000000000000000e+01
 1.30082921244294776e+04,-1.86601952361252195e-04,-9.00000000000000000e+01
 1.32391898715036077e+04,-1.74399466269671251e-04,-9.00000000000000000e+01
 1.34700876185777379e+04,-1.64755560207291652e-04,-9.00000000000000000e+01
 1.37009853656518681e+04,-1.57137219333467251e-04,-9.00000000000000000e+01
 1.39318831127259982e+04,-1.51120267312416888e-04,-9.00000000000000000e+01
 1.41627808598001284e+04,-1.46368551849090342e-04,-9.00000000000000000e+01
 1.43936786068742585e+04,-1.42616189865097797e-04,-9.00000000000000000e+01
 1.46245763539483887e+04,-1.39653064957430005e-04,-9.00000000000000000e+01
 1.48554741010225189e+04,-1.37313198941190905e-04,-9.00000000000000000e+01
 1.50863718480966490e+04,-1.35465504830879579e-04,-9.00000000000000000e+01
 1.53172695951707792e+04,-1.34006461272602977e-04,-9.00000000000000000e+01
 1.55481673422449094e+04,-1.32854319234671018e-04,-9.00000000000000000e+01
 1.59254129706764525e+04,-1.31470207507447138e-04,-9.00000000000000000e+01
 1.63026585991079955e+04,-1.30542234567261812e-04,-9.00000000000000000e+01
 1.68691373369533612e+04,-1.29698304509898421e-04,-9.00000000000000000e+01
 1.70000000000000000e+04,-1.29569188546622575e-04,-9.00000000000000000e+01
 1.70256093263777948e+04, 1.32812860762439815e-04,-8.00000000000000000e+01
 1.70512186527555896e+04, 1.36708626232819215e-04,-8.00000000000000000e+01
 1.71365826560638016e+04, 1.48995225294683861e-04,-8.00000000000000000e+01
 1.72219466593720135e+04, 1.60399727558346774e-04,-8.00000000000000000e+01
 1.73073106626802255e+04, 1.70911953691107738e-04,-8.00000000000000000e+01
 1.75210468611669203e+04, 1.93788270797909292e-04,-8.00000000000000000e+01
 1.77347830596536151e+04, 2.12316411252316101e-04,-8.00000000000000000e+01
 1.79485192581403098e+04, 2.27265107588732723e-04,-8.00000000000000000e+01
 1.81622554566270046e+04, 2.39305071617736901e-04,-8.00000000000000000e+01
 1.83759916551136994e+04, 2.48994765804445351e-04,-8.00000000000000000e+01
 1.85897278536003942e+04, 2.56790251598551956e-04,-8.00000000000000000e+01
 1.88034640520870889e+04, 2.63060834182146284e-04,-8.00000000000000000e+01
 1.90172002505737837e+04, 2.68104447177295268e-04,-8.00000000000000000e+01
 1.92309364490604785e+04, 2.72161042712137360e-04,-8.00000000000000000e+01
 1.94446726475471733e+04, 2.75423729528470303e-04,-8.00000000000000000e+01
 1.96584088460338680e+04, 2.78047864918972722e-04,-8.00000000000000000e+01
 1.98721450445205628e+04, 2.80158415732067719e-04,-8.00000000000000000e+01
 2.00000000000000000e+04, 2.81217882264142116e-04,-8.00000000000000000e+01
 2.00001250138780633e+04, 2.81218833956813834e-04,-8.00000000000000000e+01
 2.00993312296876029e+04, 2.81905899552088355e-04,-8.00000000000000000e+01
 2.03684709156652607e+04, 2.83486296516340726e-04,-8.00000000000000000e+01
 2.06376106016429185e+04, 2.84746125178330484e-04,-8.00000000000000000e+01
 2.10841629085752975e+04, 2.86265294574044747e-04,-8.00000000000000000e+01
 2.15307152155076765e+04, 2.87244226826802542e-04,-8.00000000000000000e+01
 2.19772675224400555e+04, 2.87859817671990402e-04,-8.00000000000000000e+01
 2.20000000000000000e+04, 2.87884211324271149e-04,-8.00000000000000000e+01
 2.20002616064846516e+04, 2.87884459084022828e-04,-8.00000000000000000e+01
 2.22818638404968333e+04, 2.88092555730911151e-04,-8.00000000000000000e+01
 2.28498862266842880e+04, 2.88397015875842494e-04,-8.00000000000000000e+01
 2.34179086128717427e+04, 2.88589974848200764e-04,-8.00000000000000000e+01
