"current","time","voltage"
 2.89378767223888932e-04, 0.00000000000000000e+00,-8.00000000000000000e+01
 2.89368764387001366e-04, 2.50000000000000000e+01,-8.00000000000000142e+01
 2.89358771674719326e-04, 5.00000000000000000e+01,-8.00000000000000000e+01
 2.89348778962437341e-04, 7.50000000000000000e+01,-8.00000000000000000e+01
 2.89338786250155301e-04, 1.00000000000000000e+02,-8.00000000000000000e+01
 2.89328793537873316e-04, 1.25000000000000000e+02,-8.00000000000000000e+01
 2.89318800825591276e-04, 1.50000000000000000e+02,-8.00000000000000000e+01
 2.89308808113309291e-04, 1.75000000000000000e+02,-8.00000000000000000e+01
 2.89298815401027305e-04, 2.00000000000000000e+02,-8.00000000000000000e+01
 2.89288822688745265e-04, 2.25000000000000000e+02,-8.00000000000000000e+01
 2.89278829976463280e-04, 2.50000000000000000e+02,-8.00000000000000000e+01
 2.89268837264181240e-04, 2.75000000000000000e+02,-8.00000000000000000e+01
 2.89258844551899201e-04, 3.00000000000000000e+02,-8.00000000000000000e+01
 2.89248851839617215e-04, 3.25000000000000000e+02,-8.00000000000000000e+01
 2.89238859127335230e-04, 3.50000000000000000e+02,-8.00000000000000000e+01
 2.89229579114335105e-04, 3.75000000000000000e+02,-8.00000000000000000e+01
 2.89222589607396005e-04, 4.00000000000000000e+02,-7.99999999999999858e+01
 2.89215600100456904e-04, 4.25000000000000000e+02,-7.99999999999999858e+01
 2.89208610593517858e-04, 4.50000000000000000e+02,-7.99999999999999858e+01
 2.89201621086578812e-04, 4.75000000000000000e+02,-8.00000000000000000e+01
 2.89194631579639766e-04, 5.00000000000000000e+02,-8.00000000000000000e+01
 2.89187642072700666e-04, 5.25000000000000000e+02,-8.00000000000000000e+01
 2.89180652565761620e-04, 5.50000000000000000e+02,-8.00000000000000000e+01
 2.89173663058822628e-04, 5.75000000000000000e+02,-8.00000000000000000e+01
 2.89166673551883528e-04, 6.00000000000000000e+02,-7.99999999999999858e+01
 2.89159684044944481e-04, 6.25000000000000000e+02,-7.99999999999999858e+01
 2.89152694538005435e-04, 6.50000000000000000e+02,-8.00000000000000000e+01
 2.89145705031066389e-04, 6.75000000000000000e+02,-8.00000000000000000e+01
 2.89138715524127289e-04, 7.00000000000000000e+02,-7.99999999999999858e+01
 2.89131726017188243e-04, 7.25000000000000000e+02,-7.99999999999999858e+01
 2.89124736510249143e-04, 7.50000000000000000e+02,-8.00000000000000000e+01
 2.89117747003310097e-04, 7.75000000000000000e+02,-7.99999999999999858e+01
 2.89110757496371050e-04, 8.00000000000000000e+02,-8.00000000000000000e+01
 2.89103767989432004e-04, 8.25000000000000000e+02,-8.00000000000000000e+01
