"current","time","voltage"
 1.41907660929836168e-08, 0.00000000000000000e+00,-8.00000000000000000e+01
 1.41908081081976324e-08, 2.50000000000000000e+01,-8.00000000000000000e+01
 1.41908491551804090e-08, 5.00000000000000000e+01,-8.00000000000000000e+01
 1.41908902021631841e-08, 7.50000000000000000e+01,-8.00000000000000000e+01
 1.41909312491459607e-08, 1.00000000000000000e+02,-8.00000000000000000e+01
 1.41909722961287374e-08, 1.25000000000000000e+02,-8.00000000000000000e+01
 1.41910133431115124e-08, 1.50000000000000000e+02,-7.99999999999999858e+01
 1.41910543900942891e-08, 1.75000000000000000e+02,-8.00000000000000000e+01
 1.41910954370770658e-08, 2.00000000000000000e+02,-8.00000000000000000e+01
 1.41911364840598425e-08, 2.25000000000000000e+02,-8.00000000000000000e+01
 1.41911775310426191e-08, 2.50000000000000000e+02,-8.00000000000000000e+01
 1.41912185780253958e-08, 2.75000000000000000e+02,-8.00000000000000000e+01
 1.41912596250081708e-08, 3.00000000000000000e+02,-8.00000000000000000e+01
 1.41913006719909459e-08, 3.25000000000000000e+02,-8.00000000000000000e+01
 1.41913417189737225e-08, 3.50000000000000000e+02,-8.00000000000000000e+01
 1.41913827659564992e-08, 3.75000000000000000e+02,-8.00000000000000000e+01
 1.41914238129392759e-08, 4.00000000000000000e+02,-8.00000000000000000e+01
 1.41914648599220509e-08, 4.25000000000000000e+02,-8.00000000000000000e+01
 1.41915059069048292e-08, 4.50000000000000000e+02,-8.00000000000000000e+01
 1.41915469538876059e-08, 4.75000000000000000e+02,-8.00000000000000000e+01
 1.41915880008703809e-08, 5.00000000000000000e+02,-8.00000000000000000e+01
 1.41916290478531593e-08, 5.25000000000000000e+02,-8.00000000000000000e+01
 1.41916700948359359e-08, 5.50000000000000000e+02,-8.00000000000000000e+01
 1.41917111418187126e-08, 5.75000000000000000e+02,-8.00000000000000000e+01
 1.41917521888014860e-08, 6.00000000000000000e+02,-8.00000000000000000e+01
 1.41917932357842627e-08, 6.25000000000000000e+02,-8.00000000000000000e+01
 1.41918342827670393e-08, 6.50000000000000000e+02,-7.99999999999999858e+01
 1.41918753297498160e-08, 6.75000000000000000e+02,-8.00000000000000000e+01
 1.41918944996126678e-08, 7.00000000000000000e+02,-8.00000000000000000e+01
 1.41918949719227622e-08, 7.25000000000000000e+02,-8.00000000000000000e+01
 1.41918954442328583e-08, 7.50000000000000000e+02,-8.00000000000000000e+01
 1.41918959165429560e-08, 7.75000000000000000e+02,-8.00000000000000000e+01
 1.41918963888530521e-08, 8.00000000000000000e+02,-8.00000000000000000e+01
 1.41918968611631481e-08, 8.25000000000000000e+02,-8.00000000000000142e+01
 1.41918973334732442e-08, 8.50000000000000000e+02,-8.00000000000000142e+01
 1.41918978057833403e-08, 8.75000000000000000e+02,-8.00000000000000142e+01
 1.41918982780934363e-08, 9.00000000000000000e+02,-8.00000000000000142e+01
 1.41918987504035324e-08, 9.25000000000000000e+02,-8.00000000000000000e+01
 1.41918992227136285e-08, 9.50000000000000000e+02,-8.00000000000000000e+01
 1.41918996950237245e-08, 9.75000000000000000e+02,-8.00000000000000000e+01
 1.41919001673338206e-08, 1.00000000000000000e+03,-8.00000000000000000e+01
 1.41919006396439167e-08, 1.02500000000000000e+03,-8.00000000000000000e+01
 1.41919011119540127e-08, 1.05000000000000000e+03,-8.00000000000000000e+01
 1.41919015842641088e-08, 1.07500000000000000e+03,-8.00000000000000000e+01
 1.41919020565742032e-08, 1.10000000000000000e+03,-8.00000000000000000e+01
 1.41919025288843009e-08, 1.12500000000000000e+03,-8.00000000000000000e+01
 1.41919030011943970e-08, 1.15000000000000000e+03,-8.00000000000000000e+01
 1.41919034735044914e-08, 1.17500000000000000e+03,-8.00000000000000000e+01
 1.41919039458145875e-08, 1.20000000000000000e+03,-8.00000000000000000e+01
 1.41919044181246835e-08, 1.22500000000000000e+03,-8.00000000000000000e+01
 1.41919048904347813e-08, 1.25000000000000000e+03,-8.00000000000000000e+01
 1.41919053627448757e-08, 1.27500000000000000e+03,-8.00000000000000000e+01
 1.41919058350549734e-08, 1.30000000000000000e+03,-8.00000000000000000e+01
 1.41919063073650711e-08, 1.32500000000000000e+03,-8.00000000000000000e+01
 1.41919067796751655e-08, 1.35000000000000000e+03,-8.00000000000000000e+01
 1.41919072519852599e-08, 1.37500000000000000e+03,-8.00000000000000000e+01
 1.41919077242953577e-08, 1.40000000000000000e+03,-8.00000000000000000e+01
 1.41919081966054537e-08, 1.42500000000000000e+03,-8.00000000000000000e+01
 1.41919086689155498e-08, 1.45000000000000000e+03,-8.00000000000000000e+01
 1.41919091412256442e-08, 1.47500000000000000e+03,-8.00000000000000000e+01
 1.41919096135357403e-08, 1.50000000000000000e+03,-8.00000000000000000e+01
 1.41919100858458363e-08, 1.52500000000000000e+03,-8.00000000000000000e+01
 1.41919105581559324e-08, 1.55000000000000000e+03,-8.00000000000000000e+01
 1.41919110304660285e-08, 1.57500000000000000e+03,-8.00000000000000000e+01
 1.41919115027761262e-08, 1.60000000000000000e+03,-8.00000000000000000e+01
 1.41919119750862206e-08, 1.62500000000000000e+03,-8.00000000000000000e+01
 1.41919124473963183e-08, 1.65000000000000000e+03,-8.00000000000000000e+01
 1.41919129197064128e-08, 1.67500000000000000e+03,-8.00000000000000000e+01
 1.41919133920165105e-08, 1.70000000000000000e+03,-8.00000000000000000e+01
