"current","time","voltage"
 1.09173614901751474e-02, 0.00000000000000000e+00,-8.00000000000000000e+01
 5.57501633032569249e-03, 2.50000000000000000e+01,-8.00000000000000142e+01
 2.85532707481380181e-03, 5.00000000000000000e+01,-8.00000000000000142e+01
-3.54906881950381231e-03, 7.50000000000000000e+01,-8.00000000000000000e+01
-7.63772111399706188e-03, 1.00000000000000000e+02,-8.00000000000000142e+01
 4.98951583268174726e-03, 1.25000000000000000e+02,-8.00000000000000142e+01
 2.22370928294206857e-03, 1.50000000000000000e+02,-8.00000000000000000e+01
 3.38124853325867929e-03, 1.75000000000000000e+02,-8.00000000000000142e+01
-6.82964363357015190e-03, 2.00000000000000000e+02,-8.00000000000000142e+01
 1.05927871597381283e-02, 2.25000000000000000e+02,-8.00000000000000000e+01
-1.66861676939242622e-03, 2.50000000000000000e+02,-8.00000000000000142e+01
-7.70830879947682120e-03, 2.75000000000000000e+02,-8.00000000000000284e+01
-1.21209202677232952e-02, 3.00000000000000000e+02,-8.00000000000000284e+01
-6.50862527113759749e-04, 3.25000000000000000e+02,-8.00000000000000142e+01
 5.55764973529382627e-03, 3.50000000000000000e+02,-8.00000000000000142e+01
 9.50331119431269133e-03, 3.75000000000000000e+02,-8.00000000000000000e+01
 3.25268034563342637e-03, 4.00000000000000000e+02,-8.00000000000000000e+01
 5.74852920300131069e-03, 4.25000000000000000e+02,-8.00000000000000142e+01
 7.53054374257472979e-03, 4.50000000000000000e+02,-8.00000000000000142e+01
 1.59593104947806995e-03, 4.75000000000000000e+02,-8.00000000000000000e+01
-4.50230127017741712e-03, 5.00000000000000000e+02,-8.00000000000000142e+01
 1.89485578465804620e-03, 5.25000000000000000e+02,-8.00000000000000000e+01
 1.10822083193256506e-02, 5.50000000000000000e+02,-8.00000000000000000e+01
 3.71805393554261888e-03, 5.75000000000000000e+02,-8.00000000000000000e+01
 1.49670553951548012e-03, 6.00000000000000000e+02,-8.00000000000000000e+01
-7.18563630498987756e-03, 6.25000000000000000e+02,-8.00000000000000000e+01
