,Time Points,Mean,Median,Lower bound CI,Upper bound CI,Central Probability
0,7,0.7418930674096288,0.6425407705703777,0.22311456909747057,1.8082302195006983,0.95
1,8,1.1578062859216305,1.1484525277028435,0.3226619172760496,2.127515657315913,0.95
2,9,1.3156889390780173,1.2500773429077081,0.6135420091850788,2.476351425599818,0.95
3,10,1.395195547227027,1.3424761731729444,0.5545930813528526,2.281808226386569,0.95
4,11,1.3789056805050612,1.293342390759515,0.810550217288433,2.2463505908568933,0.95
5,12,1.4819236285613449,1.3691526040648947,0.913200203963235,2.2563433997043103,0.95
6,13,1.135018237822271,1.126083722207862,0.5729167516996887,1.9192133605535946,0.95
7,14,1.0487220733697251,1.0508334501082004,0.5882785179302092,1.7822425015540957,0.95
8,15,0.6943951321423032,0.6230591986182588,0.2683399147563141,1.1991212160246372,0.95
9,16,0.869788893094059,0.8333279131993754,0.3818907627703844,1.61832116065557,0.95
10,17,0.8293842603917204,0.8016562882880685,0.31614674205929605,1.4575987948783458,0.95
11,18,0.8774449776484662,0.8344360237242847,0.35811739534897946,1.6416186471659702,0.95
12,19,1.167077953122693,1.1443673118318844,0.6027533317429421,2.0513162010428014,0.95
13,20,2.1312567629488184,2.053751197527161,1.3431030335553458,3.254383945804942,0.95
14,21,3.982074273558875,3.937476470596851,3.0885291573717084,4.870837237125456,0.95
15,22,7.327615268035579,7.429275928685239,5.8906346807298675,8.643342697399254,0.95
16,23,8.541021583248524,8.608878276374043,6.691847185260022,10.17616094664017,0.95
17,24,8.710655902890142,8.80456338668371,7.3643995515722125,9.554026880278307,0.95
18,25,7.747455508452884,7.638176599684387,6.721209004930587,9.112106352323913,0.95
19,26,6.894243685350329,6.758462702843252,5.851475660560011,8.030006000209433,0.95
20,27,4.991405092189668,4.870561232946526,4.331433312987506,5.89350469577312,0.95
21,28,3.8276659002148268,3.7970150235444997,3.28997940656783,4.330627949595365,0.95
22,29,2.7421168011809156,2.7224689213563407,2.373726229749356,3.0612206820803274,0.95
23,30,2.199732660888523,2.2104312569031492,1.8133434082514261,2.515650586363526,0.95
24,31,1.984624162392756,2.0097834864035713,1.6805478661328677,2.261423333434773,0.95
25,32,1.6165357128553597,1.620367573019355,1.439894755514336,1.841554085760979,0.95
26,33,1.478839526919847,1.4691696265987615,1.274497004812461,1.6791728287430323,0.95
27,34,1.3561466571825855,1.3554109967256616,1.1598076133317083,1.5536185560042641,0.95
28,35,1.2747451345207759,1.2755314727502278,1.1047806584686124,1.459731693300973,0.95
29,36,1.230369493892896,1.2211188430049758,1.0899154564802518,1.4012554443524265,0.95
30,37,1.7492122405400103,1.7457473686637481,1.5380738598789687,1.9462360150948517,0.95
31,38,2.1679292368422516,2.138068399848808,1.9507879800641035,2.37817858949611,0.95
32,39,2.5178350249951955,2.513483760091038,2.278767970504839,2.776834222045169,0.95
33,40,2.6703789616032885,2.6679509873777567,2.4338565630854014,2.8854651397618936,0.95
34,41,2.6795715315157174,2.6845369330418682,2.4421626175905624,2.9024812260019557,0.95
35,42,2.528274165689274,2.5329507842714394,2.2285120865412718,2.7963769991861334,0.95
36,43,2.263459501879753,2.2519058077776126,2.072861297808848,2.443406312031117,0.95
37,44,1.7240516891239193,1.7164388579156997,1.580775914877493,1.8926461185349726,0.95
38,45,1.2790494500088097,1.280529908351867,1.1692532933888042,1.4178608044209864,0.95
39,46,1.013601197349888,1.0128756172803777,0.9232717917529766,1.140556164776136,0.95
40,47,0.8180070480289156,0.8181263784322408,0.7043368147295892,0.9182370625888845,0.95
41,48,0.6895929696396419,0.6833796738296709,0.6177115031295727,0.7541620292370496,0.95
42,49,0.6660558655255865,0.6675118680147943,0.5693140240172303,0.7463963600182549,0.95
43,50,0.6659698817916753,0.6672802652593202,0.6024884480219128,0.7418401270590957,0.95
44,51,0.6459859853643327,0.6428006519307222,0.5783824852738637,0.7277315181104733,0.95
45,52,0.6317629426207192,0.6304347474786794,0.5718264563597624,0.7082925688286869,0.95
46,53,0.6090298436235211,0.6132757850442159,0.5236490433409238,0.6728803957293199,0.95
47,54,0.5957415106557868,0.5899596993621372,0.5196642237456438,0.6815102773169468,0.95
48,55,0.6052011459652187,0.6027578640903797,0.5402236247201908,0.6681935523609209,0.95
49,56,0.5791258361979298,0.5792809020048943,0.5065012093464171,0.6823624035915136,0.95
50,57,0.5419775875334321,0.5435293201792222,0.4578732684258227,0.6146014441636287,0.95
51,58,0.48050243354367916,0.4788785678196756,0.3962719497323096,0.5590130006448373,0.95
52,59,0.49535417822087113,0.49282938086067263,0.4318037442362043,0.5715458077466057,0.95
53,60,0.5230742032860848,0.5260058138757693,0.42471365046603043,0.5982665699388936,0.95
54,61,0.5116961759429315,0.5149363337791649,0.43372987092418763,0.5878578110552002,0.95
55,62,0.49929156120418916,0.49949239429465553,0.4232570018864314,0.5848591733230176,0.95
56,63,0.5337224574850997,0.5322821497091599,0.43114327722655416,0.6757109885806221,0.95
57,64,0.5041478890605279,0.5067841062746365,0.41450085425345823,0.6070679421102921,0.95
58,65,0.5096968280227365,0.5075870762849521,0.4161688280184084,0.6291864565588909,0.95
59,66,0.47399928418679077,0.47130083294382885,0.3659275874970487,0.5746891305391757,0.95
60,67,0.46332494887892145,0.4555335250476513,0.35612815594410496,0.5611352633272252,0.95
61,68,0.4901980556673559,0.48464196979389473,0.3941592372888834,0.6076863445946831,0.95
62,69,0.4931763543494304,0.48680626248099124,0.3854758518286924,0.595872213735535,0.95
63,70,0.508088773792219,0.5050473977464747,0.37795046590261944,0.656933048281236,0.95
64,71,0.5291698363302391,0.5195955111586239,0.3970542650184945,0.6748271327796929,0.95
65,72,0.6575388288524897,0.6600446409857695,0.5201621669690579,0.8052101276816274,0.95
66,73,0.6322787269246277,0.6319097591022899,0.47268340843331286,0.7876364511770156,0.95
67,74,0.6672718618619206,0.6663792693070882,0.5341610745147114,0.7910848457310127,0.95
68,75,0.617672140663768,0.6053377264234381,0.4764134932280786,0.804719436043335,0.95
69,76,0.5664121453443349,0.5628776787621246,0.40622350471636626,0.746617582273455,0.95
70,77,0.5206124464447752,0.5186812699379613,0.3851398842319348,0.7380994787925957,0.95
71,78,0.5328619872559628,0.5343623995399187,0.3847615014344943,0.6662575522541783,0.95
72,79,0.43034102624881976,0.42589472508209747,0.29402235599739357,0.587300265376543,0.95
73,80,0.4606127997564629,0.46468128518822094,0.3533333969963204,0.5960336957490302,0.95
74,81,0.4377744335380148,0.43554391358697647,0.3227865409753069,0.5729581248942268,0.95
75,82,0.5588619644048588,0.585185075114617,0.38150277317428244,0.7499069833186004,0.95
76,83,0.5525053423712474,0.5386419341204629,0.3913253459317737,0.7486541775151685,0.95
77,84,0.5791692716615238,0.5751724074701736,0.4180785998722218,0.786625769235051,0.95
78,85,0.5413207234970469,0.5421949227351901,0.3334861782485352,0.7133857799759016,0.95
79,86,0.5915487521768166,0.6027299859193156,0.41830333407799264,0.7671318924991166,0.95
80,87,0.5812641146107784,0.5752680977481358,0.4160769366279427,0.7698088082799907,0.95
81,88,0.6151042135813735,0.6137215602109142,0.4258763045729339,0.8401319245691996,0.95
82,89,0.5210514871814534,0.518335327338924,0.36038288149915243,0.7236363243616841,0.95
83,90,0.5684327447284868,0.563880575730902,0.3837120162551786,0.8077586849229278,0.95
84,91,0.5422971205373763,0.5413163096589836,0.3372817211501161,0.7351582221282625,0.95
85,92,0.6200618713088251,0.6309141891408636,0.34895171479133447,0.9234935245764853,0.95
86,93,0.4658511268557613,0.4551181440750376,0.2995508348128732,0.6715384318265462,0.95
87,94,0.42686002365781583,0.42003759187082945,0.2601722743718222,0.6543990045146103,0.95
88,95,0.44916482420541276,0.45065785623607424,0.29558751695690144,0.6531860340218891,0.95
89,96,0.4228629595606181,0.41425952042038405,0.22884898272250861,0.7148290375576299,0.95
90,97,0.41290292145586066,0.4096702789345792,0.23765337880486218,0.6517596145238223,0.95
91,98,0.4258392944936694,0.41870154404333965,0.23902873780652162,0.6778612196223904,0.95
92,99,0.40472829589101394,0.37251788747213427,0.23273617604827612,0.6625865334663387,0.95
93,100,0.4852714761632776,0.45985731023820886,0.25418719108530174,0.9021032085753439,0.95
94,101,0.5127593249182152,0.49391901688521916,0.27701281575662384,0.7805864939262959,0.95
95,102,0.4184857781134341,0.4109392462632231,0.18895813528201488,0.8045850067271896,0.95
96,103,0.37269344292018824,0.3509096715413496,0.16023061288315849,0.6671213060335297,0.95
97,104,0.35670192119599436,0.31927919649029635,0.147921701320454,0.6763613495256519,0.95
98,105,0.4022097759748328,0.39593471017474313,0.16801962253483624,0.7307772547287715,0.95
99,106,0.39278671758391914,0.4198793344497228,0.17048589530751626,0.5913262048267095,0.95
